"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","higherClassification","kingdom","phylum","class","order","family","scientificName","simplifiedName","taxonID","scientificNameAuthorship","genus","subgenus","specificEpithet","verbatimTaxonRank","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","associatedCollectors","recordNumber","eventDate","eventDate2","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","behavior","vitality","fieldNumber","eventID","informationWithheld","dataGeneralizations","dynamicProperties","associatedOccurrences","associatedSequences","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","preparations","locationID","continent","waterBody","islandGroup","island","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","OG_geodeticDatum","geodeticDatum_translated_to.WGS83","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey.dbpk","collID","recordID","references"
2463835,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74205","74205","urn:catalog:CAS:BOT:178454","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum",29701,"L.","Raphanus",NA,"raphanistrum","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Hoffmann, Ralph","","s.n.","6/15/30","",1930,6,15,166,NA,"June 15, 1930.","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Santa Barbara ","","Santa Cruz Island. Smuggler's Cove.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 12:09","urn:catalog:CAS:BOT-BC:74205",1,"9acc2eb8-4cea-4315-b243-82e3f28c9b6d","https://cch2.org/portal/collections/individual/index.php?occid=2463835"
2422481,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74246","74246","urn:catalog:CAS:BOT:496400","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Zeile, E. M.","","26","9/17/21","",1921,9,17,260,NA,"9/17-'21","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Alameda ","","North Berkeley.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 15:03","urn:catalog:CAS:BOT-BC:74246",1,"903558ec-6e2d-460e-87d6-9e9c893b2220","https://cch2.org/portal/collections/individual/index.php?occid=2422481"
2361025,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74229","74229","urn:catalog:CAS:BOT:217004","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Bellue; Goodwin","","s.n.","7/1/32","",1932,7,1,183,NA,"7/1/32","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Sacramento ","","Unspecified.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 13:03","urn:catalog:CAS:BOT-BC:74229",1,"dc3ae814-0588-47a9-93fa-5f2f46811fc4","https://cch2.org/portal/collections/individual/index.php?occid=2361025"
2384991,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74230","74230","urn:catalog:CAS:DS:220624","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Bellue; Goodwin","","s.n.","6/10/32","",1932,6,10,162,NA,"6/10/32","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Sacramento ","","Unspecified.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 13:03","urn:catalog:CAS:BOT-BC:74230",1,"b8221783-d11f-4c92-875c-e8c7c0f89e42","https://cch2.org/portal/collections/individual/index.php?occid=2384991"
3904078,"LA","","","PreservedSpecimen","d5b6b40e-7ac8-4f60-bb0c-e854466aabcf","LA00606059","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","Ihsan A. Al-Shehbaz","00:00.0","","","","",NA,"Wheeler, Louis C.","","513","1932-03-00","",1932,3,0,NA,NA,"25-Mar-32","Flowers yellow.","Clay soil.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","Los Angeles ","","Pomona near Fairgrounds.","",0,NA,NA,NA,"","",NA,"","","","","","",274,274,NA,NA,NA,"900 ft","","","abaniaga","8/27/24 11:29","",34,"d5b6b40e-7ac8-4f60-bb0c-e854466aabcf","https://cch2.org/portal/collections/individual/index.php?occid=3904078"
2866836,"MACF","","","PreservedSpecimen","ff6012c5-f400-48a3-85ad-7bb5bbfbca3b","MACF030464","MACF005309","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Fay A. McFadden","","1064","3/8/29","",1929,3,8,67,NA,"Mar.8.29","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","","Brea","","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","TuesDani","4/12/23 0:18","",36,"ff6012c5-f400-48a3-85ad-7bb5bbfbca3b","https://cch2.org/portal/collections/individual/index.php?occid=2866836"
2916054,"PASA","","","PreservedSpecimen","","PASA_2074","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cruciferae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","wild radish","",NA,"","","","4/28/39","",1939,4,28,118,NA,"28-Apr-39","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","Los Angeles","","Claremont","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","4/12/23 0:18","",49,"3e87003b-eef3-4831-b584-315e7b1af4c1","https://cch2.org/portal/collections/individual/index.php?occid=2916054"
968734,"RSA","RSA","","PreservedSpecimen","799bbace-8f11-4fcd-8161-2c5a160329af","","RSA accession: 431475","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Elizabeth A. White","","s.n.","1928-05-00","",1928,5,0,NA,NA,"1928-05","","Sand dunes","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Introduced",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","Los Angeles","","El Segundo.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","Marisa Sripracha; cataloged date: 2001-03-12","4/12/23 0:18","799bbace-8f11-4fcd-8161-2c5a160329af",17,"ab20eba4-8bfa-4d2a-b740-b372c3d1d3ba","https://cch2.org/portal/collections/individual/index.php?occid=968734"
1202206,"RSA","RSA","","PreservedSpecimen","e91f1b9b-fc82-4446-80b9-d7a0e3a77466","","RSA accession: 431491","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"F. A. Thackery","","307","5/6/28","",1928,5,6,127,NA,"","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Cultivated",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","San Diego","","Franklin Canyon, San Diego County.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","T. Kim Nguyen; cataloged date: 2007-09-21","4/12/23 0:18","e91f1b9b-fc82-4446-80b9-d7a0e3a77466",17,"e2e7846f-9504-4f7f-829a-47455ade0bdb","https://cch2.org/portal/collections/individual/index.php?occid=1202206"
732955,"RSA","RSA","","PreservedSpecimen","2d3a09f0-a0fc-48c4-804a-c64febd0ebb2","","RSA accession: 431477","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Ora M. Clark","","1500","2/3/29","",1929,2,3,34,NA,"","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Cultivated",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","Los Angeles","","Palos Verdes","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","T. Kim Nguyen; cataloged date: 2007-09-21","4/12/23 0:18","2d3a09f0-a0fc-48c4-804a-c64febd0ebb2",17,"e0f758c2-e993-4822-8dec-45ba3a8661ad","https://cch2.org/portal/collections/individual/index.php?occid=732955"
806147,"RSA","RSA","","PreservedSpecimen","4ffbae4c-8008-4514-be98-886b434cec46","","RSA accession: 431473","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"H. L. Bauer","","s.n","3/20/29","",1929,3,20,79,NA,"","","Vacant lot","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Cultivated",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","Los Angeles","","Long Beach.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","T. Kim Nguyen; cataloged date: 2007-09-21","4/12/23 0:18","4ffbae4c-8008-4514-be98-886b434cec46",17,"552faf56-d0a6-4c16-a686-6a4e3c17c6e8","https://cch2.org/portal/collections/individual/index.php?occid=806147"
963366,"RSA","RSA","","PreservedSpecimen","770a4a8a-a608-4574-a42b-6922692cee78","","RSA accession: 431474","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"T. S. Clare","","s.n.","1929-03-00","",1929,3,0,NA,NA,"1929-03","","Near stream.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Cultivated",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","Los Angeles","","Topanga Canyon.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","T. Kim Nguyen; cataloged date: 2007-09-21","4/12/23 0:18","770a4a8a-a608-4574-a42b-6922692cee78",17,"a85bc968-a112-47ad-a15f-817149479df2","https://cch2.org/portal/collections/individual/index.php?occid=963366"
1080763,"RSA","RSA","","PreservedSpecimen","aeff0710-56dd-49eb-9396-3a9d85660d29","","RSA accession: 431479","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"L. E. Hoffman","","s.n","5/5/29","",1929,5,5,125,NA,"","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Cultivated",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","Los Angeles","","Hermon Hills, Ave-57. Pasadena.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","T. Kim Nguyen; cataloged date: 2007-09-19","4/12/23 0:18","aeff0710-56dd-49eb-9396-3a9d85660d29",17,"fcc326ce-e5dc-48a0-b39f-3b5b79d388c9","https://cch2.org/portal/collections/individual/index.php?occid=1080763"
667072,"RSA","RSA","","PreservedSpecimen","0df66e11-095c-49ef-92e7-a8aa3a0a9143","","RSA accession: 431503","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Ora M. Clark","","1618","3/2/29","",1929,3,2,61,NA,"","","Open field.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Cultivated",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","San Diego","","Vista.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","T. Kim Nguyen; cataloged date: 2007-09-21","4/12/23 0:18","0df66e11-095c-49ef-92e7-a8aa3a0a9143",17,"a60c7963-0051-41f9-a995-4716457e5f09","https://cch2.org/portal/collections/individual/index.php?occid=667072"
1123870,"RSA","POM","","PreservedSpecimen","c3b510cb-ba16-46c2-934c-b316765b0aaf","","POM accession: 273398","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Cora W. Benson","","s.n.","1/26/29","",1929,1,26,26,NA,"","","Upper Sonoran.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Introduced",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","San Luis Obispo","","Pismo Beach.","",0,NA,NA,NA,"","",NA,"","","","","","",30,NA,NA,NA,NA,"100ft.","","","Jackie C. McConnaughy; cataloged date: 2012-04-17","4/12/23 0:18","c3b510cb-ba16-46c2-934c-b316765b0aaf",17,"a1ae9acd-5001-46bf-9441-0699882fdd62","https://cch2.org/portal/collections/individual/index.php?occid=1123870"
684007,"RSA","RSA","","PreservedSpecimen","1601abeb-6196-4450-93a3-b39f1e382b05","","RSA accession: 431508","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Dr H. de Forest","","s.n.","3/30/29","",1929,3,30,89,NA,"","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Cultivated",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","Santa Barbara","","Cuyama R. Valley","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","T. Kim Nguyen; cataloged date: 2007-09-21","4/12/23 0:18","1601abeb-6196-4450-93a3-b39f1e382b05",17,"6167989e-46a4-41b3-8a27-fbad256261d8","https://cch2.org/portal/collections/individual/index.php?occid=684007"
1062094,"RSA","RSA","","PreservedSpecimen","a6142b02-bfa1-4e1b-b2f7-3a79771f3e69","","RSA accession: 722375","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Norland","","42","1929-04-00","",1929,4,0,NA,NA,"1929-04","","Barley field.","","1-2 in fleshy roots. Fls purplish - dark veined. Biennial.",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers","Introduced",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","Trinity","","[no locality information provided]","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","Jackie C. McConnaughy; cataloged date: 2012-04-17","4/12/23 0:18","a6142b02-bfa1-4e1b-b2f7-3a79771f3e69",17,"437274dc-45c9-4840-9526-ba0afa787197","https://cch2.org/portal/collections/individual/index.php?occid=1062094"
1119747,"RSA","RSA","","PreservedSpecimen","c1bec370-520b-48b1-bba7-13372945b535","","RSA accession: 431478","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"F. R. Fosberg","","2985","6/23/30","",1930,6,23,174,NA,"","","San Dunes; Supra littoral zone","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Cultivated",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","Los Angeles","","Del Rey.","",0,NA,NA,NA,"","",NA,"","","","","","",1,NA,NA,NA,NA,"3ft.","","","T. Kim Nguyen; cataloged date: 2007-09-21","4/12/23 0:18","c1bec370-520b-48b1-bba7-13372945b535",17,"1bc15117-5f67-4e6d-914b-68a67c11ba29","https://cch2.org/portal/collections/individual/index.php?occid=1119747"
956927,"RSA","RSA","","PreservedSpecimen","7404f794-773a-4a47-ab96-5e834881c577","","RSA accession: 431505","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"E. E. Stanford","","s.n.","4/18/30","",1930,4,18,108,NA,"","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Introduced",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","San Joaquin","","Northeastern portion of the county.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","Jackie C. McConnaughy; cataloged date: 2012-04-17","4/12/23 0:18","7404f794-773a-4a47-ab96-5e834881c577",17,"f45283ec-d8c4-4d17-9616-4d13679f82a1","https://cch2.org/portal/collections/individual/index.php?occid=956927"
1146837,"RSA","RSA","","PreservedSpecimen","ce94f09e-129c-46dc-9b44-6f806093e3fc","RSA0125360","RSA accession: 482907","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","LeRoy Gross","2018-06","","","","",NA,"E. E. Stanford","","s.n.","4/18/30","",1930,4,18,108,NA,"","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Introduced",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","San Joaquin","","Northeastern portion of the county.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","K. J. Blassey; cataloged date: 2012-05-08","4/12/23 0:18","ce94f09e-129c-46dc-9b44-6f806093e3fc",17,"7da7d5c5-69d1-40ad-bba1-468e0ab54420","https://cch2.org/portal/collections/individual/index.php?occid=1146837"
657525,"RSA","RSA","","PreservedSpecimen","096ffc2f-06e0-4270-bd9b-d81261057481","","RSA accession: 431493","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Howard Mullins","","s.n.","3/13/31","",1931,3,13,72,NA,"","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","flowers & fruits","Cultivated",NA,NA,"",NA,NA,"herbarium sheet",NA,"",NA,NA,NA,"United States","California","Los Angeles","","Los Angeles. Vacant lots and waste places in the city, roadsides.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","T. Kim Nguyen; cataloged date: 2007-09-21","4/12/23 0:18","096ffc2f-06e0-4270-bd9b-d81261057481",17,"a34d5d4c-1120-4784-9f2c-f6db8ad9e58d","https://cch2.org/portal/collections/individual/index.php?occid=657525"
