"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","higherClassification","kingdom","phylum","class","order","family","scientificName","simplifiedName","taxonID","scientificNameAuthorship","genus","subgenus","specificEpithet","verbatimTaxonRank","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","associatedCollectors","recordNumber","eventDate","eventDate2","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","behavior","vitality","fieldNumber","eventID","informationWithheld","dataGeneralizations","dynamicProperties","associatedOccurrences","associatedSequences","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","preparations","locationID","continent","waterBody","islandGroup","island","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","OG_geodeticDatum","geodeticDatum_translated_to.WGS83","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey.dbpk","collID","recordID","references","period","sampled"
3584664,"BSCA","","","PreservedSpecimen","","BSCA4416","4161","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","Wild Radish","",NA,"Hendrickson, Larry","","296","2/17/05","",2005,2,17,48,NA,"17-Feb-05","","","In road shoulder of State Route 78.","",NA,NA,NA,NA,NA,"","Plant about 1.5 meter tall. Only one observed.",NA,NA,"","FL","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","San Diego","","Anza-Borrego Desert State Park. South side of San Felipe Wash about 0.1 mi west of the intersection with County Hwy S-3 near emergency call box #78-671.","",0,NA,33.1349,-116.3841,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"442","","","","7/26/24 7:08","",48,"afd15af6-68bf-4ea6-8767-528b19999f6c","https://cch2.org/portal/collections/individual/index.php?occid=3584664","Post-2000","n"
2385124,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74196","74196","urn:catalog:CAS:DS:105713","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum",29701,"L.","Raphanus",NA,"raphanistrum","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Quayle, E. H.","","s.n.","1920-05-00","",1920,5,0,NA,NA,"May 1920.","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","San Mateo ","","Lomitas School near Menlo Park.","",0,NA,37.43726,-122.21245,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 11:51","urn:catalog:CAS:BOT-BC:74196",1,"9521a9ff-11f8-41b6-8c03-194ac5097b55","https://cch2.org/portal/collections/individual/index.php?occid=2385124","1920s–1930s","y"
2368640,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74209","74209","urn:catalog:CAS:DS:104019","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum",29701,"L.","Raphanus",NA,"raphanistrum","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Quayle, E. H.","","s.n.","1920-05-00","",1920,5,0,NA,NA,"20-May","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Santa Clara ","","Santa Cruz Mountain Peninsula. Arboretum. Stanford University.","",0,NA,37.43791,-122.16684,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 12:15","urn:catalog:CAS:BOT-BC:74209",1,"d818d77b-c11d-4cc7-a35d-e82539dc945f","https://cch2.org/portal/collections/individual/index.php?occid=2368640","1920s–1930s","y"
2398571,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74207","74207","urn:catalog:CAS:DS:110070","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum",29701,"L.","Raphanus",NA,"raphanistrum","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Duncan, C. D.","","s.n.","3/17/20","",1920,3,17,77,NA,"17-Mar-20","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Santa Clara ","","Between Inn and Library Campus.","",0,NA,37.42559,-122.16571,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 12:12","urn:catalog:CAS:BOT-BC:74207",1,"aafd7db5-9a01-426b-90f6-2f545b67bf66","https://cch2.org/portal/collections/individual/index.php?occid=2398571","1920s–1930s","y"
2288164,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74192","74192","urn:catalog:CAS:BOT:705583","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum",29701,"L.","Raphanus",NA,"raphanistrum","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Smith, L. S.","","1750","3/31/26","",1926,3,31,90,NA,"31-Mar-26","Scattered.","Burn. Dry, loose, ashes and gravel. In timber.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Nevada ","","Tahoe Forest. Near Central House, top of ridge.","",0,NA,39.325833,-120.880278,"","",NA,"","","","","","",1158,NA,NA,NA,NA,"3800.0000000000 ft","","en","","5/13/11 11:31","urn:catalog:CAS:BOT-BC:74192",1,"f64d8cfa-9d56-43bd-8dca-eebb7ab22f57","https://cch2.org/portal/collections/individual/index.php?occid=2288164","1920s–1930s","y"
2463835,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74205","74205","urn:catalog:CAS:BOT:178454","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum",29701,"L.","Raphanus",NA,"raphanistrum","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Hoffmann, Ralph","","s.n.","6/15/30","",1930,6,15,166,NA,"June 15, 1930.","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Santa Barbara ","","Santa Cruz Island. Smuggler's Cove.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 12:09","urn:catalog:CAS:BOT-BC:74205",1,"9acc2eb8-4cea-4315-b243-82e3f28c9b6d","https://cch2.org/portal/collections/individual/index.php?occid=2463835","1920s–1930s","y"
2293307,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74183","74183","urn:catalog:CAS:DS:303495","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum",29701,"L.","Raphanus",NA,"raphanistrum","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Browne, Ashley C.","","s.n.","6/11/36","",1936,6,11,163,NA,"11-Jun-36","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Humboldt ","","Patrick's Point State Park.","",0,NA,41.1408,-124.14619,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 11:09","urn:catalog:CAS:BOT-BC:74183",1,"03fa8a42-7819-41f6-a608-e8901b392b4b","https://cch2.org/portal/collections/individual/index.php?occid=2293307","1920s–1930s","y"
2405523,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74175","74175","urn:catalog:CAS:BOT:531062","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum",29701,"L.","Raphanus",NA,"raphanistrum","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Covel, Paul F.","","662","10/1/37","",1937,10,1,274,NA,"Oct I '37","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Alameda ","","Oakland Hills.","",0,NA,37.8096,-122.15752,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 10:46","urn:catalog:CAS:BOT-BC:74175",1,"94e1fa36-af08-4029-8584-8fb935bcb7fe","https://cch2.org/portal/collections/individual/index.php?occid=2405523","1920s–1930s","y"
2342396,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74312","74312","urn:catalog:CAS:DS:111145","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Mallory, George H.","","s.n.","5/4/20","",1920,5,4,125,NA,"4-May-20","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Monterey ","","10 miles north of Bradley. West bank of Salinas River.","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/16/11 13:48","urn:catalog:CAS:BOT-BC:74312",1,"9623219a-82f8-450d-b8cd-3de1b18a0a38","https://cch2.org/portal/collections/individual/index.php?occid=2342396","1920s–1930s","y"
2317066,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74244","74244","urn:catalog:CAS:BOT:496488","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","Ihsan A. Al-Shehbaz","1/10/10","","","","",NA,"Zeile, E. M.","","22","9/15/21","",1921,9,15,258,NA,"9/15-'21","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Alameda ","","Berkeley, Campus.","",0,NA,37.87291,-122.25191,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/13/11 15:00","urn:catalog:CAS:BOT-BC:74244",1,"edae5ed6-89b3-450d-a883-9644376c867f","https://cch2.org/portal/collections/individual/index.php?occid=2317066","1920s–1930s","y"
