id,catalogNumber,institutionCode,specificEpithet,year,month,county,decimalLatitude,decimalLongitude,selected,nearest_id,nearest_km,cohort,sampled,nearest_sampled
4075140,,CDA,raphanistrum,2018,5,Los Angeles,34.09151,-118.02066,y,712565,11.52316401,new,n,n
4095393,CDA-0019431,CDA,sativus,2002,5,Sacramento,38.5464,-121.2275,y,1368001,8.27230167,new,n,n
4095402,CDA-0035804,CDA,sativus,2007,3,Sacramento,38.54,-121.0439,y,1368001,23.33921869,new,n,n
4095406,CDA-0003830,CDA,sativus,2005,6,Solano,38.0733,-122.2603,y,2197161,2.805591969,new,n,n
4095408,CDA-0003832,CDA,sativus,2005,6,Solano,38.0733,-122.2603,y,2197161,2.805591969,new,n,n
4074850,CDA-0047964,CDA,raphanistrum,2017,6,Yolo,38.574192,-121.5184,y,4095407,2.279888338,new,n,n
4074851,CDA-0047965,CDA,raphanistrum,2017,6,Yolo,38.574192,-121.5184,y,4095407,2.279888338,new,n,n
4074852,CDA-0047966,CDA,raphanistrum,2017,6,Yolo,38.574192,-121.5184,y,4095407,2.279888338,new,n,n
4095399,CDA-0030837,CDA,sativus,2009,11,Sacramento,38.4825,-121.4703,y,4095407,10.43926163,new,n,n
4095410,CDA-0043867,CDA,sativus,2010,4,Solano,38.495,-121.7092,y,4095407,20.89395495,new,n,n
4095411,CDA-0043873,CDA,sativus,2010,4,Solano,38.495,-121.7092,y,4095407,20.89395495,new,n,n
4095407,CDA-003831,CDA,sativus,1932,6,Sacramento,38.574947,-121.492255,y,4074850,2.279888338,old,n,n
4095417,,CDA,sativus,1932,7,Sacramento,38.574947,-121.492255,y,4074850,2.279888338,old,n,n
1368009,DAV310425,DAV,sativus,2007,3,Sacramento,38.54,-121.043889,y,1368001,23.34016629,new,n,n
1368001,DAV310417,DAV,sativus,1932,6,Sacramento,38.50734,-121.30829,y,4095393,8.27230167,old,n,n
2197161,DAV310433,DAV,sativus,1931,4,Solano,38.09821761,-122.2549335,y,4095406,2.805591969,old,n,n
5371810,LA00629274,LA,sativus,2022,4,Los Angeles,34.0732491,-118.4543334,y,981549,8.581612301,new,n,n
5217104,LA00647863,LA,sativus,2021,11,Los Angeles,34.037157,-118.42322,y,3904069,7.558401598,new,n,n
