id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to.WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey.dbpk,collID,recordID,references
4929046,US,,,PreservedSpecimen,http://n2t.net/ark:/65665/39188cfbc-5f2b-473f-ba86-f12eca4ab568,US 320539,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,W. H. Brewer,,2733,1864-04-00,,1864,4,0,121,121,1864-4,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,1,NA,,NA,North America,NA,NA,NA,United States,California,Alameda,,Oakland.,,0,NA,37.8203,-122.26074,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,,4/12/23 0:18,http://n2t.net/ark:/65665/39188cfbc-5f2b-473f-ba86-f12eca4ab568,91,fc32f536-c3eb-477a-b1a4-1782fefd719e,https://cch2.org/portal/collections/individual/index.php?occid=4929046
3351467,UCJEPS,VASC,,PreservedSpecimen,f7a67d87-873c-4f88-9a0a-e19f38e52e4d,JEPS53818,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Willis L. Jepson,,5K,1884-06-10,,1884,6,10,162,NA,Jun 10 1884,,in cultivated fields,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Solano,,Vacaville,,0,NA,38.35655217,-121.9877413,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,,11/3/21 16:30,JEPS53818,46,c3a608ca-3af7-4c86-b010-2a7a8a042e2d,https://cch2.org/portal/collections/individual/index.php?occid=3351467
3366602,UCJEPS,VASC,,PreservedSpecimen,3be07165-45aa-404a-b4ba-e04b212c4394,UC10776,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,NA,Fr. Denicke,,,1893-04-01,,1893,4,1,91,120,Apr 1893,"Date as ""Arpil 1893",,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Francisco,,at San Francisco San Francisco,,0,NA,37.7514,-122.4413,WGS84,,8000,,San Jose S.U. A,,GoogleMaps via BerkeleyMapper,,georef from 2006-2015 archive backup file; Thu Nov 1 21:45:14 2012; (copied from RSA101836),NA,NA,NA,NA,NA,,,,preprocessed,5/30/12 21:39,UC10776,46,40697225-cc30-4f63-8e1d-8faedc6044b1,https://cch2.org/portal/collections/individual/index.php?occid=3366602
2283873,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74352,74352,urn:catalog:CAS:DS:185825,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Applegate, Elmer I.",,38,1895-04-06,,1895,4,6,96,NA,"April 6, 1895.",,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Santa Clara,,Stanford University. Above Stock Farm.,,0,NA,37.42654,-122.18328,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/16/11 16:58,urn:catalog:CAS:BOT-BC:74352,1,e6544f39-7daa-48d3-accf-6e27d8723284,https://cch2.org/portal/collections/individual/index.php?occid=2283873
3511149,UCJEPS,VASC,,PreservedSpecimen,6b6f13c4-ea62-4799-9bcc-f1e53118c532,JEPS53812,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Willis L. Jepson,,126e,1897-06-25,,1897,6,25,176,NA,Jun 25 1897,,,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Alameda,,Berkeley,,0,NA,37.87155879,-122.2727118,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,,11/3/21 16:32,JEPS53812,46,26187fc3-aacb-487c-b451-8941f2bca9bc,https://cch2.org/portal/collections/individual/index.php?occid=3511149
3209072,UCJEPS,VASC,,PreservedSpecimen,b7d92278-ef1b-45d6-85cc-f9139c4d8b33,UC1206452,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,W. R. Dudley,,,1897-05-24,,1897,5,24,144,NA,May 24 1897,,,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Santa Clara,,"near Lake Lagunita (Stanford University); Santa Cruz Peninsula, Stanford University",,0,NA,37.427226,-122.169187,NAD27,yes,415,,,,"Biogeomancer, inferred",,,NA,NA,NA,NA,NA,,,,,11/4/21 8:38,UC1206452,46,63be5e57-5568-4f75-806e-14590fa01f7e,https://cch2.org/portal/collections/individual/index.php?occid=3209072
2286564,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74343,74343,urn:catalog:CAS:DS:62625,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Dudley, W. R.",,s.n.,1897-05-24,,1897,5,24,144,NA,"May 24, 1897.",,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Santa Clara,,"Santa Cruz Peninsula. Near Lake Lagunita, Stanford University.",,0,NA,37.42241,-122.17629,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/16/11 16:10,urn:catalog:CAS:BOT-BC:74343,1,de56ea59-38aa-44c2-8d18-228a10088121,https://cch2.org/portal/collections/individual/index.php?occid=2286564
3452051,UCJEPS,VASC,,PreservedSpecimen,72961331-435b-4d10-8e93-5363d69c564b,UC10775,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,NA,J. P. Tracy,,,5/18/00,,1900,5,18,138,NA,May 18 1900,,field,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Alameda,,"Berkeley, Telegraph Avenue, near Dwight Way Berkeley; , Telegraph Avenue",,0,NA,37.865135,-122.258331,NAD27,yes,818,,,,Terrain Navigator 5.03 1:24000,,,NA,NA,NA,NA,NA,,,,,11/3/21 16:40,UC10775,46,aac37d75-ce52-4d87-8d38-24c15d7d9f8c,https://cch2.org/portal/collections/individual/index.php?occid=3452051
3464512,UCJEPS,VASC,,PreservedSpecimen,14843920-3d86-44ef-9b8b-69abc13eb8cd,UC10777,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Jos. Burtt Davy,,,12/28/00,,1900,12,28,362,NA,Dec 28 1900,,,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Alameda,,"Berkeley, College Avenue Berkeley; , College Avenue",,0,NA,37.852821,-122.252541,NAD27,yes,1857,,,,"Terrain Navigator 1:24,000",,,NA,NA,NA,NA,NA,,,,,11/4/21 8:19,UC10777,46,82315f33-2299-4d92-9f8e-1cd6505b7749,https://cch2.org/portal/collections/individual/index.php?occid=3464512
2271679,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74261,74261,urn:catalog:CAS:BOT:77372,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Carruth, W. W.",,s.n.,1902-04-00,,1902,4,0,NA,NA,Apr. '02,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Alameda,,East Oakland Hills.,,0,NA,37.82996,-122.19844,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/13/11 15:18,urn:catalog:CAS:BOT-BC:74261,1,5fb9df59-fd43-4553-8c52-f7e4a7bed3f7,https://cch2.org/portal/collections/individual/index.php?occid=2271679
