id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to.WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey.dbpk,collID,recordID,references
468963,SD,,,PreservedSpecimen,6D04235B-A364-47A9-B732-B5F6D78EEB10,SD00062742,SD8276,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,,NA,Daniel Cleveland,,s.n.,1875-05-24,,1875,5,24,144,NA,05/24/1875,,,,,NA,NA,NA,NA,NA,,,NA,NA,,FFL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,Sweetwater,,0,NA,32.7089,-116.9682,WGS84,,5000,,fjg,,Google Earth,,point is centered on large general area of Sweetwater Lake,75,NA,NA,NA,NA,,,,,9/4/24 12:55,SD8276,43,eeb62ff2-6914-4222-af5f-8e5850d7bc63,https://cch2.org/portal/collections/individual/index.php?occid=468963
468961,SD,,,PreservedSpecimen,6715347B-6C68-4322-B5B2-E84C19AA3281,SD00062744,SD8274,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,,NA,unknown,,s.n.,1884-02-26,,1884,2,26,57,NA,02/26/1884,,,,,NA,NA,NA,NA,NA,,,NA,NA,,FFL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,San Diego,,0,NA,32.731,-117.1371,WGS84,,2500,,fjg,,Google Earth,,general point for city of San Diego,76,NA,NA,NA,NA,,,,,9/4/24 12:55,SD8274,43,f804791c-2380-48fb-b5a9-8b354a379c03,https://cch2.org/portal/collections/individual/index.php?occid=468961
468962,SD,,,PreservedSpecimen,6BE9CF75-0765-4C0D-A038-BCFDABC7E8D9,SD00062741,SD8275,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,Frank F. Gander,,,,,,NA,unknown,,s.n.,1884-04-25,,1884,4,25,116,NA,04/25/1884,,,,,NA,NA,NA,NA,NA,,,NA,NA,,FFL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,Chollas Valley,,0,NA,32.72173,-117.10117,WGS84,,2414,,mak,,TOPO! v3.4.2,,,NA,NA,NA,NA,NA,unknownft.,,,,9/4/24 12:55,SD8275,43,dffa19ee-a62c-4b34-bf69-e892e01d7e06,https://cch2.org/portal/collections/individual/index.php?occid=468962
2286213,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74276,74276,urn:catalog:CAS:DS:95623,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,NA,"Parish, W. F.",,s.n.,1891-00-00,,1891,0,0,NA,NA,1891,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Los Angeles,,Wayside - Long Beach.,,0,NA,33.76694,-118.18833,,,NA,"33.76694∞ N, 118.18833∞ W",,Biogeomancer,Biogeomancer,(copied from UC2154),(copied from UC2154),NA,NA,NA,NA,NA,,,en,,5/13/11 16:50,urn:catalog:CAS:BOT-BC:74276,1,795ff28a-bca5-4dec-8588-ec615bb2efae,https://cch2.org/portal/collections/individual/index.php?occid=2286213
2448284,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74317,74317,urn:catalog:CAS:DS:95605,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,NA,"Parish, S. B.",,2642,1893-04-05,,1893,4,5,95,NA,5 Apr 1893.,,Grain fields.,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,San Bernardino,,Rialto.,,0,NA,34.10614,-117.36956,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/16/11 14:01,urn:catalog:CAS:BOT-BC:74317,1,db4a7498-1f7d-4925-8d1d-8f4516180711,https://cch2.org/portal/collections/individual/index.php?occid=2448284
468999,SD,,,PreservedSpecimen,5EDCDFD0-6F3C-4F1B-8097-55272A22B94B,SD00062711,SD52157,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,,NA,R. D. Alderson,,633a,1893-04-01,,1893,4,1,91,NA,04/01/1893,,,,,NA,NA,NA,NA,NA,,,NA,NA,,FFL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,Witch Creek,,0,NA,33.08272,-116.71691,WGS84,,3620,,mak,,TOPO! v3.4.2,,,NA,NA,NA,NA,NA,unknownft.,,,,9/4/24 12:55,SD52157,43,1189ab74-4bb1-4b57-8a7f-38d64cadcf9c,https://cch2.org/portal/collections/individual/index.php?occid=468999
5009796,US,,,PreservedSpecimen,http://n2t.net/ark:/65665/3f7bb48a5-0f1b-4886-bac0-a9ac28195ac1,US 238201,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,,NA,H. Henshaw,,234,1893-04-05,,1893,4,5,95,95,1893-4-5,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,1,NA,,NA,North America,NA,NA,NA,United States,California,San Diego,,San Ysabel,,0,NA,33.11668,-116.6756,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,,4/12/23 0:18,http://n2t.net/ark:/65665/3f7bb48a5-0f1b-4886-bac0-a9ac28195ac1,91,01041209-ef04-4bc4-a2dc-36ed2f43fac9,https://cch2.org/portal/collections/individual/index.php?occid=5009796
2342281,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74316,74316,urn:catalog:CAS:DS:95622,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,NA,"Parish, S. B.",,4540,1898-05-25,,1898,5,25,145,NA,25 May 1898,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,San Bernardino,,West Riverside.,,0,NA,34.00372,-117.43835,WGS84,,4790,"34.00372∞ N, 117.43835∞ W",,GoogleMaps via BerkeleyMapper,GoogleMaps via BerkeleyMapper,,,NA,NA,NA,NA,NA,,,en,,5/16/11 14:00,urn:catalog:CAS:BOT-BC:74316,1,3129ac88-844e-430d-8b22-15b0da1cdba7,https://cch2.org/portal/collections/individual/index.php?occid=2342281
229779,UCSC,,,PreservedSpecimen,366ab9bc-a0dd-42f4-a406-01a3c33c3e90,UCSC100000692,320,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,,NA,Pupils of Los Angeles High School,,s.n.,1901-06-00,,1901,6,0,NA,NA,,"""Specimen rec'd from Dr. Hall"" Herbarium of the University of California #455236.",,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Los Angeles,,Los Angeles. Specimen recd from Dr. Hall Univ. Cal. Herbarium,,0,NA,34.052234,-118.243685,WGS84,,43952,,akrohn,,GeoLocate,,Error polygon from GeoLocate,NA,NA,NA,NA,NA,,CaliforniaPolytechnic School Her,,,5/20/16 19:58,,13,5e7285fa-39ae-451e-9896-016402a9b38c,https://cch2.org/portal/collections/individual/index.php?occid=229779
3322372,UCJEPS,VASC,,PreservedSpecimen,595c9bc2-7289-44dc-a422-8a04b004f4f8,UC64347,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,,NA,H. M. Hall,,,5/17/01,,1901,5,17,137,152,"May 17, 1901-June 1, 1901","Date as ""May 17-June 1, 1901",,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Riverside,,"San Jacinto Valley, (journey) from Riverside to Santa Rosa Peak and Palomar San Jacinto Valley",,0,NA,33.800023,-116.950855,NAD27,yes,10000,,,,RSA:2009,,,457,NA,NA,NA,NA,1500 ft,,,,11/3/21 16:48,UC64347,46,6a56347a-263a-499f-a073-50f920e1402f,https://cch2.org/portal/collections/individual/index.php?occid=3322372
