id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to.WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey.dbpk,collID,recordID,references,X,X.1,X.2,X.3,X.4,X.5,X.6
3258364,UCJEPS,VASC,,PreservedSpecimen,7bcfe3aa-155d-4558-8aa7-7ec6c1340d0f,UC14322,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,E. R. Drew,,,1882-04-01,,1882,4,1,91,120,April 1882,"Date as ""April 1882",,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Sacramento,,Elk Grove,,0,NA,38.399887,-121.361025,NAD27,yes,1609,,,,Terrain Navigator 5.03 USGS 1:24000,,,NA,NA,NA,NA,NA,,,,,11/4/21 8:22,UC14322,46,66be8dfd-8b90-47a9-8741-ce9bccac1555,https://cch2.org/portal/collections/individual/index.php?occid=3258364,,,NA,NA,NA,NA,
3351467,UCJEPS,VASC,,PreservedSpecimen,f7a67d87-873c-4f88-9a0a-e19f38e52e4d,JEPS53818,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Willis L. Jepson,,5K,1884-06-10,,1884,6,10,162,NA,Jun 10 1884,,in cultivated fields,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Solano,,Vacaville,,0,NA,38.35655217,-121.9877413,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,,11/3/21 16:30,JEPS53818,46,c3a608ca-3af7-4c86-b010-2a7a8a042e2d,https://cch2.org/portal/collections/individual/index.php?occid=3351467,,,NA,NA,NA,NA,
3268949,UCJEPS,VASC,,PreservedSpecimen,c50271ec-63b6-4743-9fb7-a3a47dcd8ce8,UC10778,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,J. A. Sanford,,95,1890-01-01,,1890,1,1,1,365,1890-1891,"Date as ""1890-91",,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Joaquin,,French Camp,,0,NA,37.882556,-121.273777,NAD27,yes,819,,,,Terrain Navigator 5.03 USGS 1:24000,,,NA,NA,NA,NA,NA,,,,,11/4/21 8:26,UC10778,46,69c1e870-4f18-4e6f-91b2-c9ece3e3d5fe,https://cch2.org/portal/collections/individual/index.php?occid=3268949,,,NA,NA,NA,NA,
1312145,DAV,Vascular Plants,,PreservedSpecimen,0a5c7b1f-1a4d-4863-95a9-15ec95afd703,DAV300682,Accession #: DAV163587,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,NA,Lloyd P. Tevis,,s.n.,7/1/02,,1902,7,1,182,NA,2-Jul,Access Database Number (Deprecated): UCD42636,,,'Charlock,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,El Dorado,,El Dorado County: Tallac. Lake Tahoe. (elevation estimated by label-maker),,0,NA,38.936111,-120.051944,WGS84,,439,38∞ 56m 10s N; 120∞ 3m 7s W,,,,,,1890,NA,NA,NA,NA,6200ft,,,,5/18/23 12:51,UCD42636,39,0a5c7b1f-1a4d-4863-95a9-15ec95afd703,https://cch2.org/portal/collections/individual/index.php?occid=1312145,,,NA,NA,NA,NA,
1311269,DAV,Vascular Plants,,PreservedSpecimen,84c3c8eb-74bb-49db-8535-7c4b60211578,DAV310392,Accession #: DAV163876,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Lloyd P. Tevis,,s.n.,8/1/02,,1902,8,1,213,NA,2-Aug,Access Database Number (Deprecated): UCD42411,,,'Radish,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,El Dorado,,El Dorado County: Tallac. Lake Tahoe. (elevation estimated by label-maker),,0,NA,38.936111,-120.051944,WGS84,,439,38∞ 56m 10s N; 120∞ 3m 7s W,,,,,,1890,NA,NA,NA,NA,6200ft,,,,5/18/23 12:51,UCD42411,39,84c3c8eb-74bb-49db-8535-7c4b60211578,https://cch2.org/portal/collections/individual/index.php?occid=1311269,,,NA,NA,NA,NA,
1312007,DAV,Vascular Plants,,PreservedSpecimen,a0f22c8b-15ef-4aa3-83bb-95cc22e8cb31,DAV310391,Accession #: DAV164009,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Lloyd P. Tevis,,s.n.,8/1/02,,1902,8,1,213,NA,2-Aug,Access Database Number (Deprecated): UCD42469,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,El Dorado,,El Dorado County: Tallac. Lake Tahoe. (elevation estimated by label-maker),,0,NA,38.936111,-120.051944,WGS84,,439,38∞ 56m 10s N; 120∞ 3m 7s W,,,,,,1890,NA,NA,NA,NA,6200ft,,,,5/18/23 12:51,UCD42469,39,a0f22c8b-15ef-4aa3-83bb-95cc22e8cb31,https://cch2.org/portal/collections/individual/index.php?occid=1312007,,,NA,NA,NA,NA,
2296541,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74177,74177,urn:catalog:CAS:DS:95620,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,Ihsan A. Al-Shehbaz,1/10/10,,,,,NA,"Braunton, Ernest",,1234,1904-09-00,,1904,9,0,NA,NA,"September, 1904",,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Amador,,Vicinity of Ione.,,0,NA,38.359692,-120.932716,,,NA,,,,,,,61,152,NA,NA,NA,200.0000000000-500.0000000000 ft,,en,,5/13/11 10:53,urn:catalog:CAS:BOT-BC:74177,1,4742ff6d-fedc-4b10-bdbd-b6eea1d51924,https://cch2.org/portal/collections/individual/index.php?occid=2296541,,,NA,NA,NA,NA,
1368006,DAV,Vascular Plants,,PreservedSpecimen,8d5dd6a1-f3be-4457-83f7-e118b2f8535b,DAV310423,Accession #: DAV2639,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,A. A. Heller,,11203,3/16/14,,1914,3,16,75,NA,16-Mar-14,Access Database Number (Deprecated): UCD115181,Growing in hills.,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Butte,,Butte County: 8 miles north of Oroville.,,0,NA,39.612833,-121.605967,NAD27,yes,6450,,,,Terrain Navigator,,copied from duplicate,NA,NA,NA,NA,NA,,,,preprocessed,5/18/23 12:51,UCD115181,39,8d5dd6a1-f3be-4457-83f7-e118b2f8535b,https://cch2.org/portal/collections/individual/index.php?occid=1368006,,,NA,NA,NA,NA,
3430357,UCJEPS,VASC,,PreservedSpecimen,0d3b37a6-ff52-4f9a-8390-ac9e45104f26,UC203587,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,A. A. Heller,,11203,3/16/14,,1914,3,16,75,NA,Mar 16 1914,,"moist cultivated ground, low hills",,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Butte,,8 mi n of Oroville,,0,NA,39.612691,-121.607,NAD27,yes,6450,,,,Terrain Navigator,,,NA,NA,NA,NA,NA,,,,,11/4/21 8:39,UC203587,46,deb1daed-d6f6-42a4-af9a-c37115398a3b,https://cch2.org/portal/collections/individual/index.php?occid=3430357,,,NA,NA,NA,NA,
2312024,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74263,74263,urn:catalog:CAS:BOT:77369,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Heller, A. A.",,11203,3/16/14,,1914,3,16,75,NA,16-Mar-14,It is rather common.,"Moist cultivated ground, low hills.",,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Butte,,Low hills 8 miles north of Oroville.,,0,NA,39.63764,-121.56677,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/13/11 16:24,urn:catalog:CAS:BOT-BC:74263,1,102ac159-1634-4857-930b-94959e168b85,https://cch2.org/portal/collections/individual/index.php?occid=2312024,,,NA,NA,NA,NA,
