"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","higherClassification","kingdom","phylum","class","order","family","scientificName","simplifiedName","taxonID","scientificNameAuthorship","genus","subgenus","specificEpithet","verbatimTaxonRank","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","associatedCollectors","recordNumber","eventDate","eventDate2","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","behavior","vitality","fieldNumber","eventID","informationWithheld","dataGeneralizations","dynamicProperties","associatedOccurrences","associatedSequences","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","preparations","locationID","continent","waterBody","islandGroup","island","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","OG_geodeticDatum","geodeticDatum_translated_to.WGS83","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey.dbpk","collID","recordID","references","X","X.1","X.2","X.3","X.4","X.5","X.6"
4929046,"US","","","PreservedSpecimen","http://n2t.net/ark:/65665/39188cfbc-5f2b-473f-ba86-f12eca4ab568","US 320539","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"W. H. Brewer","","2733","1864-04-00","",1864,4,0,121,121,"1864-4","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",1,NA,"",NA,"North America",NA,NA,NA,"United States","California","Alameda","","Oakland.","",0,NA,37.8203,-122.26074,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","4/12/23 0:18","http://n2t.net/ark:/65665/39188cfbc-5f2b-473f-ba86-f12eca4ab568",91,"fc32f536-c3eb-477a-b1a4-1782fefd719e","https://cch2.org/portal/collections/individual/index.php?occid=4929046","","",NA,NA,NA,NA,""
468963,"SD","","","PreservedSpecimen","6D04235B-A364-47A9-B732-B5F6D78EEB10","SD00062742","SD8276","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Daniel Cleveland","","s.n.","1875-05-24","",1875,5,24,144,NA,"05/24/1875","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","FFL","",0,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","San Diego","","Sweetwater","",0,NA,32.7089,-116.9682,"WGS84","",5000,"","fjg","","Google Earth","","point is centered on large general area of Sweetwater Lake",75,NA,NA,NA,NA,"","","","","9/4/24 12:55","SD8276",43,"eeb62ff2-6914-4222-af5f-8e5850d7bc63","https://cch2.org/portal/collections/individual/index.php?occid=468963","","",NA,NA,NA,NA,""
3258364,"UCJEPS","VASC","","PreservedSpecimen","7bcfe3aa-155d-4558-8aa7-7ec6c1340d0f","UC14322","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"E. R. Drew","","","1882-04-01","",1882,4,1,91,120,"April 1882","Date as ""April 1882","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","Flowering/Fruiting","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","Sacramento","","Elk Grove","",0,NA,38.399887,-121.361025,"NAD27","yes",1609,"","","","Terrain Navigator 5.03 USGS 1:24000","","",NA,NA,NA,NA,NA,"","","","","11/4/21 8:22","UC14322",46,"66be8dfd-8b90-47a9-8741-ce9bccac1555","https://cch2.org/portal/collections/individual/index.php?occid=3258364","","",NA,NA,NA,NA,""
304566,"UCSB","","","PreservedSpecimen","fc2b9ad6-1a5d-11e3-b49f-525400a0a001","UCSB032030","32021","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Mrs. R. F. Bingham","","","1882-07-00","",1882,7,0,NA,NA,"1882-07","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"Sheet - 1",NA,"",NA,NA,NA,"United States","California","Santa Barbara","","Montecito","",0,NA,34.4367,-119.6311,"NAD83","",5700,"","Santa Barbara Botanic Garden A","","GeoLocate (copied from SBBG63245)","","Mon Apr 28 17:51:46 2014",NA,NA,NA,NA,NA,"","","","preprocessed","6/11/14 9:23","",35,"898cc859-55f6-4c0b-b723-505f66b13149","https://cch2.org/portal/collections/individual/index.php?occid=304566","","",NA,NA,NA,NA,""
468961,"SD","","","PreservedSpecimen","6715347B-6C68-4322-B5B2-E84C19AA3281","SD00062744","SD8274","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"unknown","","s.n.","1884-02-26","",1884,2,26,57,NA,"02/26/1884","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","FFL","",0,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","San Diego","","San Diego","",0,NA,32.731,-117.1371,"WGS84","",2500,"","fjg","","Google Earth","","general point for city of San Diego",76,NA,NA,NA,NA,"","","","","9/4/24 12:55","SD8274",43,"f804791c-2380-48fb-b5a9-8b354a379c03","https://cch2.org/portal/collections/individual/index.php?occid=468961","","",NA,NA,NA,NA,""
468962,"SD","","","PreservedSpecimen","6BE9CF75-0765-4C0D-A038-BCFDABC7E8D9","SD00062741","SD8275","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","Frank F. Gander","","","","",NA,"unknown","","s.n.","1884-04-25","",1884,4,25,116,NA,"04/25/1884","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","FFL","",0,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","San Diego","","Chollas Valley","",0,NA,32.72173,-117.10117,"WGS84","",2414,"","mak","","TOPO! v3.4.2","","",NA,NA,NA,NA,NA,"unknownft.","","","","9/4/24 12:55","SD8275",43,"dffa19ee-a62c-4b34-bf69-e892e01d7e06","https://cch2.org/portal/collections/individual/index.php?occid=468962","","",NA,NA,NA,NA,""
3351467,"UCJEPS","VASC","","PreservedSpecimen","f7a67d87-873c-4f88-9a0a-e19f38e52e4d","JEPS53818","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Willis L. Jepson","","5K","1884-06-10","",1884,6,10,162,NA,"Jun 10 1884","","in cultivated fields","","",NA,NA,NA,NA,NA,"","",NA,NA,"","Flowering/Fruiting","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","Solano","","Vacaville","",0,NA,38.35655217,-121.9877413,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","11/3/21 16:30","JEPS53818",46,"c3a608ca-3af7-4c86-b010-2a7a8a042e2d","https://cch2.org/portal/collections/individual/index.php?occid=3351467","","",NA,NA,NA,NA,""
3268949,"UCJEPS","VASC","","PreservedSpecimen","c50271ec-63b6-4743-9fb7-a3a47dcd8ce8","UC10778","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"J. A. Sanford","","95","1890-01-01","",1890,1,1,1,365,"1890-1891","Date as ""1890-91","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","Flowering/Fruiting","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","San Joaquin","","French Camp","",0,NA,37.882556,-121.273777,"NAD27","yes",819,"","","","Terrain Navigator 5.03 USGS 1:24000","","",NA,NA,NA,NA,NA,"","","","","11/4/21 8:26","UC10778",46,"69c1e870-4f18-4e6f-91b2-c9ece3e3d5fe","https://cch2.org/portal/collections/individual/index.php?occid=3268949","","",NA,NA,NA,NA,""
2286213,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74276","74276","urn:catalog:CAS:DS:95623","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Parish, W. F.","","s.n.","1891-00-00","",1891,0,0,NA,NA,"1891","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Los Angeles","","Wayside - Long Beach.","",0,NA,33.76694,-118.18833,"","",NA,"33.76694∞ N, 118.18833∞ W","","Biogeomancer","Biogeomancer","(copied from UC2154)","(copied from UC2154)",NA,NA,NA,NA,NA,"","","en","","5/13/11 16:50","urn:catalog:CAS:BOT-BC:74276",1,"795ff28a-bca5-4dec-8588-ec615bb2efae","https://cch2.org/portal/collections/individual/index.php?occid=2286213","","",NA,NA,NA,NA,""
2448284,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74317","74317","urn:catalog:CAS:DS:95605","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Parish, S. B.","","2642","1893-04-05","",1893,4,5,95,NA,"5 Apr 1893.","","Grain fields.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","San Bernardino","","Rialto.","",0,NA,34.10614,-117.36956,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","5/16/11 14:01","urn:catalog:CAS:BOT-BC:74317",1,"db4a7498-1f7d-4925-8d1d-8f4516180711","https://cch2.org/portal/collections/individual/index.php?occid=2448284","","",NA,NA,NA,NA,""
