id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to.WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey.dbpk,collID,recordID,references,X,X.1,X.2,X.3,X.4,X.5,X.6
2453178,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74219,74219,urn:catalog:CAS:BOT:77371,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Carruth, W. W.",,s.n.,1900-06-00,,1900,6,0,NA,NA,June 1900.,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,,,Bay Region.,,0,NA,37.87744,-122.25943,,,75796,,,,,,,NA,NA,NA,NA,NA,,,en,,5/13/11 12:33,urn:catalog:CAS:BOT-BC:74219,1,0eeb7c50-ba1e-428a-bc49-ebd0d702a1f5,https://cch2.org/portal/collections/individual/index.php?occid=2453178,,,NA,NA,NA,NA,
3382838,UCJEPS,VASC,,PreservedSpecimen,d41ae49e-ebb8-478f-ae7a-39d61d762507,UC56903,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Ernest Braunton,,357,5/10/02,,1902,5,10,130,NA,May 10 1902,,,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Los Angeles,,Rivera,,0,NA,33.9832,-118.09443,,,4500,,,,,,,NA,NA,NA,NA,NA,,,,,11/4/21 8:33,UC56903,46,8b211f22-f6f2-43c5-8ad0-bab83eea3009,https://cch2.org/portal/collections/individual/index.php?occid=3382838,,,NA,NA,NA,NA,
2393985,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74296,74296,urn:catalog:CAS:DS:593631,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"McMurphy, James",,69,1903-06-00,,1903,6,0,NA,NA,3-Jun,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Mendocino ,,Kaisen District.,,0,NA,39.27052,-123.58432,,,9000,,,,,,,NA,NA,NA,NA,NA,,,en,,5/16/11 13:24,urn:catalog:CAS:BOT-BC:74296,1,e95b4f0d-4ff6-47ce-9056-280d9b3311ce,https://cch2.org/portal/collections/individual/index.php?occid=2393985,,,NA,NA,NA,NA,
2446662,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74295,74295,urn:catalog:CAS:DS:42108,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"McMurphy, James",,69,1903-06-00,,1903,6,0,NA,NA,3-Jun,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Mendocino ,,Kaisen District.,,0,NA,39.27052,-123.58432,,,9000,,,,,,,NA,NA,NA,NA,NA,,,en,,5/16/11 13:24,urn:catalog:CAS:BOT-BC:74295,1,3cc3769c-0305-4196-b640-4f462068c763,https://cch2.org/portal/collections/individual/index.php?occid=2446662,,,NA,NA,NA,NA,
2316473,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74304,74304,urn:catalog:CAS:DS:13654,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Patterson, Miss.; Wiltz",,s.n.,7/1/07,,1907,7,1,182,NA,"July 1, 1907.",,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Monterey ,,Monterey Peninsula. Chinatown. Pacific Grove.,,0,NA,36.61796,-121.92754,,,2500,,,,,,,NA,NA,NA,NA,NA,,,en,,5/16/11 13:36,urn:catalog:CAS:BOT-BC:74304,1,055151b9-07c5-4b11-8c65-d080ba5da209,https://cch2.org/portal/collections/individual/index.php?occid=2316473,,,NA,NA,NA,NA,
2340225,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74344,74344,urn:catalog:CAS:DS:62624,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Randall, Josephine D.",,121,6/21/07,,1907,6,21,172,NA,21-Jun-07,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Santa Clara ,,Santa Cruz Peninsula. Stanford University.,,0,NA,37.4269,-122.16955,,,2000,,,,,,,NA,NA,NA,NA,NA,,,en,,5/16/11 16:26,urn:catalog:CAS:BOT-BC:74344,1,b1fd3cac-a9f9-49be-a03c-e04ba5002fe6,https://cch2.org/portal/collections/individual/index.php?occid=2340225,,,NA,NA,NA,NA,
202465,OBI,,,PreservedSpecimen,6bf3855a-48bc-4186-9a9f-6d34f18d79d6,OBI101786,47942,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Dora Heath,,s.n.,4/4/08,,1908,4,4,95,NA,4-Apr-08,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,pressed herbarium specimen,NA,,NA,NA,NA,United States,California,Santa Barbara,,Highland Hills,,0,NA,34.53149,-119.71933,,,100000,,,,,,,NA,NA,NA,NA,NA,,,,,4/16/13 0:00,,12,dbce8b96-f818-49e9-af61-9890224e257b,https://cch2.org/portal/collections/individual/index.php?occid=202465,,,NA,NA,NA,NA,
917287,RSA,POM,,PreservedSpecimen,6123cb6c-53c7-49cc-b5fb-9815b9fb6ba0,,POM accession: 396,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,D. L. Crawford,,s.n.,4/10/09,,1909,4,10,100,NA,,,,,,NA,NA,NA,NA,NA,,,NA,NA,,flowers & fruits,Cultivated,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Los Angeles,,Claremont.,,0,NA,34.1035,-117.7209,,,5500,,,,,,,NA,NA,NA,NA,NA,,,,T. Kim Nguyen; cataloged date: 2007-09-21,4/12/23 0:18,6123cb6c-53c7-49cc-b5fb-9815b9fb6ba0,17,5cf78434-833c-4b4b-80d6-4f2a2dd6b064,https://cch2.org/portal/collections/individual/index.php?occid=917287,,,NA,NA,NA,NA,
1078648,RSA,POM,,PreservedSpecimen,adfb54c6-1542-4fd2-9111-7612ff209148,,POM accession: 397,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,C. N. Carter,,s.n.,5/11/09,,1909,5,11,131,NA,,,,,,NA,NA,NA,NA,NA,,,NA,NA,,flowers & fruits,Introduced,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Los Angeles,,Claremont.,,0,NA,34.1035,-117.7209,,,5500,,,,,,,NA,NA,NA,NA,NA,,,,T. Kim Nguyen; cataloged date: 2008-10-29,4/12/23 0:18,adfb54c6-1542-4fd2-9111-7612ff209148,17,a1f9d536-d823-4d7a-90c1-efe4ad824665,https://cch2.org/portal/collections/individual/index.php?occid=1078648,,,NA,NA,NA,NA,
2294495,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74302,74302,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Randall, Alice D.",,141,3/28/10,,1910,3,28,87,NA,"Mch. 28, 1910",,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Monterey ,,Monterey Peninsula. Carmel-By-The-Sea.,,0,NA,36.61796,-121.92754,,,2500,,,,,,,NA,NA,NA,NA,NA,,,en,,5/16/11 13:34,urn:catalog:CAS:BOT-BC:74302,1,30adc826-0c61-4947-8cab-d627274409c9,https://cch2.org/portal/collections/individual/index.php?occid=2294495,,,NA,NA,NA,NA,
