id_formula,id,institutionCode,catalogNumber,year,DNA tissue,leaf_tissue,flw_color,notes,spp notes,resprout notes,tissue collected date,
https://www.cch2.org/portal/collections/individual/index.php?occid=2376470&clid=0,NA,CAS,74174,1893,"1 terminal bud cluster, a few loose buds",no,,highly precious,,,,
2316473,2316473,CAS,74304,1907,1 mini axillary branch ,no,purple on sheet ,DNA includes immature fruit ,,,,
2465901,2465901,CAS,74345,1907,2 axillary bud,no,beige on sheet,,,,,
2286003,2286003,CAS,74303,1910,"1 terminal bud cluster, 2 axillary buds",no,purple on sheet,,,,,
2385124,2385124,CAS,74196,1920,"2 terminal bud clusters, extra flower buds",no,white dark veins on sheet,,,,,
2288164,2288164,CAS,74192,1926,leaf,no,beige on sheet,single basal leaf could use for both if sufficient ,,,,
2338864,2338864,CAS,74333,1936,4 terminal bud clusters,no,beige on sheet,,,,,
2324177,2324177,CAS,74208,1946,"1 axillary bud cluster, 1 terminal bud cluster",no,"easter pink! Pink veins. Very smooth, hairless buds","raphanistrum morphology fruit, much smaller than usual, and pink flowers ",,,,
2411987,2411987,CAS,74331,1952,1 terminal bud cluster,no,white on sheet ,,,,,
2282381,2282381,CAS,74359,1954,1 large bud cluster,no,beige on sheet,unsampled duplicate (diff month) if extraction fails (74361),,,,
2318143,2318143,CAS,74176,1964,3 terminal  bud clusters,no,multiple flower colors,"sample collected from pouch, duel sample - potentially 2 different individuals . ",,,,
2464854,2464854,CAS,74334,1964,"2 axillary bud, 1 terminal bud, some loose buds",no,purple on sheet,,,,,
5504849,5504849,CAS,684486,1966,2 terminal bud cluster,no,yellowish with purple veins on label ,,,,,
5504848,5504848,CAS,684485,1969,"2 terminal bud clusters, 1 little leaf",no,yellow flowers on label ,,"likely hybrid brassica i.e. niger, senesing fruits with central dividing membrane, flowers yellow",,,
5504846,5504846,CAS,684483,1973,4 axillary buds,no,beige on sheet,,,,,
2457183,2457183,CAS,74340,1973,2 terminal bud cluster,no,yellow on sheet,,,,,
2355201,2355201,CAS,74180,1978,3 terminal  bud clusters,no,beige on sheet,,,,,
2414894,2414894,CAS,74294,1979,2 axillary buds,no,purple on sheet ,,,,,
5569680,5569680,CAS,684523,1982,3 terminal bud cluster,no,beige on sheet,,,,,
2405194,2405194,CAS,74188,1988,"2 axillary buds, 2 terminal bud clusters",no,pale purple on sheet,likely two different individuals ,,,,
NA,NA,CAS,74189,,"3 axillary buds, little leaf",no,white dark veins on sheet,,,,,
2286213,2286213,CAS,74276,1891,"3 axillary buds, 1 terminal bud cluster, 1 little leaf ","yes, basal",beige on sheet,potentially glue on tissue,,,,
2448284,2448284,CAS,74317,1893,"3 axillary buds, 1 terminal bud cluster, 1 little leaf ","yes, basal",purple on sheet,,,,,
2283873,2283873,CAS,74352,1895,"3 axillary buds, 1 terminal bud cluster, 1 little leaf","yes, basal",purple on sheet,,,,,
2286564,2286564,CAS,74343,1897,5 axillary buds,"yes, basal",purple on sheet,,,,,
2271679,2271679,CAS,74261,1902,"2 axillary buds, 1 large bud terminal cluster","yes, basal",purple on sheet ,,,,,
2440540,2440540,CAS,74278,1902,6 axillary buds,"yes, basal",beige on sheet,,,,,
2302311,2302311,CAS,74297,1903,1 terminal bud cluster,"yes, basal",purple on sheet,,,,,
2296541,2296541,CAS,74177,1904,"2 terminal bud clusters, 1 axiallary bud, loose buds","yes, basal",purple on sheet ,,,,,
2340225,2340225,CAS,74344,1907,4 axiallary buds,"yes, basal",beige on sheet,,,,,
2294495,2294495,CAS,74302,1910,4 axillary buds,"yes, basal",purple on sheet,,,,,
2328808,2328808,CAS,74301,1910,"3 axillary bud, 1 little leaf","yes, basal",beige on sheet,,,,,
2426166,2426166,CAS,74363,1912,"1 axillary bud, 1 terminal bud cluster, 1 little leaf","yes, basal",purple on sheet ,,,,,
2312024,2312024,CAS,74263,1914,4 axiallary buds,"yes, basal",purple on sheet,,,,,
2450948,2450948,CAS,74210,1919,4 axillary buds,"yes, basal",beige on sheet ,,,,,
2357521,2357521,CAS,74241,1919,"4 axillary buds, 1 little leaf","yes, basal",beige on sheet ,,,,,
2398571,2398571,CAS,74207,1920,3 axillary buds ,"yes, basal",beige on sheet,,,,,
2342396,2342396,CAS,74312,1920,3 axillary buds,"yes, basal",purple on sheet ,extra leaf tissue,,,,
2401356,2401356,CAS,74221,1921,"2 axillary buds, 1 terminal bud cluster","yes, basal",purple on sheet,potentially glue or other unknown substance on tissue,,,,
2408641,2408641,CAS,74267,1930,3 terminal  bud clusters,"yes, basal",purple on sheet,,,,,
2384991,2384991,CAS,74230,1932,3 axillary buds,"yes, basal",purple on sheet,"unsampled duplicate if extraction fails (74229, non specific location data, sampled a month apart)",,,,
2773470,2773470,CAS,554230,1937,"2 terminal bud clusters, 1 axillary bud","yes, basal",beige on sheet,extra leaf tissue,,,,
2772139,2772139,CAS,550649,1937,"4 terminal bud clusters, 2 axillary buds","yes, basal",beige on sheet,,,,,
2772132,2772132,CAS,550642,1937,1 large terminal bud cluster,"yes, basal",purple on sheet ,unsampled duplicate if extraction fails (550643),,,,
2411397,2411397,CAS,74215,1945,"1 axillary bud, 2 terminal bud cluster","yes, basal",beige on sheet,,,,,
2288810,2288810,CAS,74216,1947,"4 axiallary buds, 1 terminal bud cluster","yes, basal",beige on sheet,,,,,
2291878,2291878,CAS,74283,1949,3 axillary buds,"yes, basal",purple on sheet,small axillary buds may have glue,,,,
2390070,2390070,CAS,74348,1949,3 large axillary bud cluster,"yes, basal",purple on sheet,"extra leaf and DNA tissue, Unsampled near duplicate 0074347",,,,
2292239,2292239,CAS,74194,1950,"2 axillary buds, 1 terminal bud cluster","yes, basal",white on label,,,,,
2311342,2311342,CAS,74195,1952,4 axillary bud clusters,"yes, basal",pale yellow on sheet,,,,,
2324050,2324050,CAS,74181,1954,1 terminal bud cluster,"yes, basal","light purple , light veins on sheet ","glue on leaf tissue, limited tissue",,,,
2283407,2283407,CAS,74225,1955,"3 axillary buds, 2 terminal bud cluster","yes, basal",,"extra leaf tissue, unsampled duplicate if extraction fails (74224)",,,,
