id_formula,id,institutionCode,catalogNumber,year,DNA tissue,leaf_tissue,flw_color,notes,spp notes,resprout notes,,,tissue collected date
2385124,2385124,CAS,74196,1920,"2 terminal bud clusters, extra flower buds",no,white dark veins on sheet,,,,,,
2368640,2368640,CAS,74209,1920,several bud clusters,"yes, cauline with basal morphology",beige on sheet,,,,,,
2398571,2398571,CAS,74207,1920,3 axillary buds ,"yes, basal",beige on sheet,,,,,,
2342396,2342396,CAS,74312,1920,3 axillary buds,"yes, basal",purple on sheet ,extra leaf tissue,,,,,
2401356,2401356,CAS,74221,1921,"2 axillary buds, 1 terminal bud cluster","yes, basal",purple on sheet,potentially glue or other unknown substance on tissue,,,,,
2446817,2446817,CAS,74250,1921,"4 axillary buds, 1 terminal bud cluster, 1 little leaf","yes, cauline w/ intermediate morphology",beige on sheet,duplicate set of samples - (74250-74244) (note: 74246 was not sampled from series) Berkeley CA 1921 - all appear perenniated ,,,,,
2388593,2388593,CAS,74249,1921,2 axillary buds,"yes, cauline w/ intermediate morphology",purple on sheet ,duplicate set of samples - (74250-74244) (note: 74246 was not sampled from series) Berkeley CA 1921 - all appear perenniated ,,,,,
2352540,2352540,CAS,74248,1921,4 axillary buds,"yes, cauline with basal morphology",beige on sheet,duplicate set of samples - (74250-74244) (note: 74246 was not sampled from series) Berkeley CA 1921 - all appear perenniated ,,,,,
2366181,2366181,CAS,74247,1921,2 axillary buds,"yes, cauline with intermediate morphology",purple on sheet ,,,,,,
2322547,2322547,CAS,74245,1921,3 axillary buds,"yes, cauline with intermediate morphology",purple on sheet,duplicate set of samples - (74250-74244) (note: 74246 was not sampled from series) Berkeley CA 1921 - all appear perenniated ,,,,,
2317066,2317066,CAS,74244,1921,3 axillary buds,"yes, cauline with intermediate morphology",purple on sheet,duplicate set of samples - (74250-74244) (note: 74246 was not sampled from series) Berkeley CA 1921 - all appear perenniated ,,,,,
2331781,2331781,CAS,74362,1921,"2 axillary bud, 1 terminal bud cluster","yes, cauline with cauline morphology ",purple on sheet ,"potentially two individuals, glue on terminal bud cluster   ",,,,,
2413972,2413972,CAS,74264,1923,tiny leaf and apical meristeam ,"yes, basal ",n/a,packet of seedlings that germinated in early october,,,,,
2395018,2395018,CAS,74260,1924,4 axillary bud clusters,"yes, cauline with basal morphology ",purple on sheet,,,,,,
2311023,2311023,CAS,74259,1925,3 axillary buds,"yes, cauline with basal morphology",beige on sheet,,,,,,
2288164,2288164,CAS,74192,1926,leaf,no,beige on sheet,single basal leaf could use for both if sufficient ,,,,,
375698,375698,SDSU,SDSU01221,1927,multiple axillary bud clusters,"yes, cauline with basal morphology",purple drk veins on sheet,extra tissue; purplish stems,,,,,
3499442,3499442,UCJEPS,JEPS53815,1927,"7 bud clusters, little leaf","yes, basal",purple on sheet,lots of extra tissue,,,,,
2431017,2431017,CAS,74222,1927,"1 axillary bud, 1 terminal bud cluster, 1 little leaf","yes, cauline with intermediate morphology",purple on sheet,,"setivus morphology, fruits, hairless buds, purple flowers (very likely sativus)",,,,
2386302,2386302,CAS,74329,1927,3 terminal  bud clusters,"yes, cauline with cauline morphology ",beige on sheet ,,,,,,
468984,468984,SD,SD00062713,1927,"4 axillary buds, 2 apical bud clusters, lil leaf, extra buds","yes, basal",purple on sheet,extra DNA tissue - big buds; 'poisoned with LPCP 1970',,,,,9/28/25
141265,141265,SBBG,SBBG213823,1927,"4 axiallary buds, 1 terminal bud cluster, 1 leaf","yes, cauline with cauline morphology ",purple on sheet,extra DNA tissue - leaf scraps and big buds,,,,,10/12/25
83203,83203,SBBG,SBBG213838,1928,4 bud clusters,"yes, cauline with basal morphology",purple on label and sheet,IN SD BAGS,very sativus fruit morphology,,,,10/12/25
3792158,3792158,FSC,FSC0010443,1929,3 axillary buds and one young leaf,"yes, cauline with basal morphology",white dark veins on sheet,extra tissue,,,,,
3792196,3792196,FSC,FSC0010481,1929,3 buds and some leaf bits,"yes, basal",purple drk veins on sheet,extra tissue,,,,,
106537,106537,SBBG,SBBG213844,1929,6 bud clusters,"yes, cauline w/ intermediate morphology",purple on sheet,extra leaf tissue,,,,,10/12/25
469005,469005,SD,SD00062739,1930,one apical bud cluster,no,pink and white on sheet,,,,,,
3260290,3260290,UCJEPS,UC407038,1930,2 big bud clusters,"yes, basal",purple on sheet,,,,,,
3334730,3334730,UCJEPS,UC650429,1930,3 bud clusters,"yes, basal",purple on sheet,,,,,,
2463835,2463835,CAS,74205,1930,"2 axillary buds, 1 terminal bud cluster, a few loose buds","yes, cauline",white dark veins on sheet,island - collected ,,,,,
2408641,2408641,CAS,74267,1930,3 terminal  bud clusters,"yes, basal",purple on sheet,,,,,,
73443,73443,SBBG,SBBG213811,1930,3 axillary buds,"yes, cauline with basal morphology",beige on sheet,IN SD BAGS,,,,,10/12/25
468988,468988,SD,SD00062800,1931,"4 axiallary buds, small leaves","yes, cauline with basal morphology",purple dark veins on sheet,extra tissue,,,,,
468996,468996,SD,SD00062799,1931,"1 axiallary bud, several small leaves, 1 terminal floral bud cluster","yes, basal",white dark veins on sheet,maybe glue on DNA tissue; extra tissue,,,,,
468998,468998,SD,SD00062791,1932,"some small flower buds, tiny axillary bud, one floral meristem","yes, cauline, some glue present","white, dark purple veins on sheet",extra tissue; tiny bud with some glue,,,,,
468997,468997,SD,SD00062792,1932,1 axillary bud; 2 floral bud clusters; loose buds,"yes, cauline",light pink on sheet; pinkish on label,extra tissue,,,,,
468994,468994,SD,SD00062794,1932,"2 axiallary buds, small leaf","yes, cauline",purple on sheet and label,glue on leaf tissue,very likely sativus,,,,
3224405,3224405,UCJEPS,UC589365,1932,4 bud clusters,"yes, cauline with basal morphology",purple on sheet,,,,,,
3358215,3358215,UCJEPS,UC519997,1932,3 bud clusters,"yes, basal","white, dark veins on sheet",some glue on leaf tissue,,,,,
3272683,3272683,UCJEPS,UC520022,1932,several bud clusters,"yes, basal",white dark veins on sheet,,,,,,
2384991,2384991,CAS,74230,1932,3 axillary buds,"yes, basal",purple on sheet,"unsampled duplicate if extraction fails (74229, non specific location data, sampled a month apart)",,,,,
2449627,2449627,CAS,74280,1932,5 terminal bud clusters,"yes, cauline with basal morphology ",yellow on label,extra leaf tissue,,,,,
2440492,2440492,CAS,74279,1932,"3 axillary buds, 1 terminal bud cluster","yes, cauline with intermediate morphology",yellow on label,,,,,,
468995,468995,SD,SD00062714,1932,"6 axillary buds, 1 big multibud cluster with glue","yes, cauline with basal morphology","purple on sheet ""orchid"" on label",glue on some of leaf tissue; glue on large bud cluster (extra DNA tissue),,,,,9/29/25
468993,468993,SD,SD00062793,1933,few floral bud clusters,"yes, cauline",purple on sheet,,,,,,
3492727,3492727,UCJEPS,UC521694,1933,3 bud clusters,"yes, cauline with intermediate morphology","white, dark veins on sheet",weird looking specimen; glue on leaf tissue,,,,,
3792171,3792171,FSC,FSC0010456,1934,3 bud clusters,"yes, cauline, not basal morphology",purple flowers drk veins,,,,,,
468990,468990,SD,SD00062715,1934,2-3 axillary buds,"yes, basal",white on sheet,,,,,,
3377055,3377055,UCJEPS,JEPS53819,1934,3 axiallary buds,"yes, cauline, intermediate morphology","white on sheet, light veins",,,,,,
3417594,3417594,UCJEPS,UC1614555,1934,4 bud clusters,"yes, cauline, intermediate morphology",purple on sheet,,,,,,
3379131,3379131,UCJEPS,UC1126745,1934,"2 axiallary buds, 2 bud clusters","yes, cauline with basal morphology","white, light veins on sheet",,,,,,
3550026,3550026,UCJEPS,UC1126746,1934,5 bud clusters,"yes, cauline with basal morphology",light purple on sheet,,,,,,
3462399,3462399,UCJEPS,JEPS54284,1935,"3 bud clusters, 2 little leaves","yes, basal",white dark veins,,,,,,
3262100,3262100,UCJEPS,UC765025,1935,4 bud clusters,"yes, basal",yellow on sheet,,,,,,
3335398,3335398,UCJEPS,UC765016,1935,3 bud clusters,"yes, basal",purple on sheet,,,,,,
3525429,3525429,UCJEPS,UC1126748,1935,2 terminal bud clusters,no,purple on sheet,bit of glue on DNA tissue,,,,,
3562157,3562157,UCJEPS,UC1126747,1935,"2 terminal bud clusters, 1 axiallary bud","yes, cauline with basal morphology",purple on sheet,,,,,,
3433650,3433650,UCJEPS,UC1126749,1935,3 terminal bud clusters,"yes, cauline, intermediate morphology",purple on sheet,glue on leaf tissue,,,,,
3563575,3563575,UCJEPS,UC1536931,1935,3 bud clusters,"yes, cauline, intermediate morphology",purple on sheet,,,,,,
