region,decade,id,cat_id,DNA_tissue,leaf_tissue,sampled?,extracted?,lab_id,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,successful?,institutionCode,catalogNumber,year,county,locality,decimalLatitude,decimalLongitude,notes,extr_tissue
SDLA,pre.1890,468963,SD00062742,4 bud clusters and a lil leaf,"yes, cauline",y,y-N,26_145,0.312,4.9,1.48,1.71,,,,1875,,,,,,
SDLA,pre.1890,304566,UCSB032030,buds w extra,"yes, basal",y,y-N,26_144,0.14,5.1,1.41,3.64,,,,1882,,,,,,
SDLA,pre.1890,468961,SD00062744,5 axillary buds,"yes, cauline w/ intermediate morphology",y,y-N,26_112,2.02,26.1,1.9,2.7,,,,1884,,,,,,
SDLA,pre.1890,468962,SD00062741,several bud clusters and a lil leaf,"yes, cauline",y,y-N,26_141,1.98,19.4,1.88,3.34,,,,1884,,,,,,
SDLA,1890s,2286213,74276,"3 axillary buds, 1 terminal bud cluster, 1 little leaf ","yes, basal",y,y-N,26_139,low,3.1,1.99,2.6,,,,1891,,,,,,
SDLA,1890s,2448284,74317,"3 axillary buds, 1 terminal bud cluster, 1 little leaf ","yes, basal",y,y-N,26_114,0.518,7.2,1.72,4.61,,,,1893,,,,,,
SDLA,1890s,468999,SD00062711,2-3 axillary buds,"yes, basal",y,y-N,26_147,0.356,8.7,1.8,7.23,,,,1893,,,,,,
SDLA,1890s,,0,0,0,y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,UC10779,,,,,,,
SDLA,1890s,2342281,74316,"1 axillary bud, 2 terminal bud cluster","yes, cauline with basal morphology ",y,y-N,26_134,0.304,4,2.3,2.23,,,,1898,,,,,,
SDLA,1890s,5009796,US 238201,0,0,y,y-N,26_148,3.84,27.4,1.8,2.53,,,,1893,,,,,SKIP? in mountains/cooler and wetter than SD/LA basin,
SDLA,1900s,3317219,JEPS53816,"3 bud clusters, exra big bud","yes, basal",y,y-N,26_039,0.291,7,2.03,-1.82,,,,1901,,,,,,
SDLA,1900s,3322372,UC64347,3 bud clusters and lil leaf,"yes, basal",y,y-N,26_022A,0.223,5.3,1.43,-2.58,,,,1901,,,,,,
SDLA,1900s,229779,UCSC100000692,multiple axillary bud clusters + a few buds,"yes, cauline, not basal morphology",y,y-N,26_116,0.1,4.3,1.63,7.5,,,,1901,,,,,,
SDLA,1900s,2440540,74278,6 axillary buds,"yes, basal",y,y-N,25_178,0.059,3.7,1.94,0.98,n,,,1902,,,,,3382838 is alternate/same; limited location data,
SDLA,1900s,3382838,UC56903,4 bud clusters,"yes, basal",y,y-N,26_003A,0.54,6.5,1.65,1.73,m,,,1902,,,,,,
SDLA,1900s,3245328,UC117496,1 apical bud cluster,"yes, cauline",y,y-N,26_040,0.36,5.4,2.18,-1.05,,,,1902,,,,,,
SDLA,1900s,3212192,UC56738,2 apical bud clusters,"yes, basal",y,y-N,26_117,0.12,4.7,1.33,4.39,,,,1902,,,,,yet to prioritize within this decade,
SDLA,1900s,3542265,UC66740,"1 terminal bud cluster, 2 axiallary buds","yes, basal",y,,26_118,low,4,1.3,1.1,,,,1904,,,,,,
SDLA,1900s,3400958,UC69195,3 bud clusters,"yes, cauline, intermediate morphology",y,y-N,26_119,0.506,8.1,1.69,4.68,,,,1905,,,,,,
SDLA,1900s,3290499,JEPS53817,"1 axiallary bud cluster, 2 bud clusters","yes, cauline, intermediate morphology",y,y-N,26_065,0.143,5.7,1.57,1.19,,,,1908,,,,,,
SDLA,1910s,469011,SD00062802,4 axiallary buds,"yes, cauline with cauline morphology ",y,y-N,26_068,2.34,27.6,1.87,2.54,,,,1915,,,,,,
SDLA,1910s,1049760,RSA0191269,2 multibud clusters,"yes, basal",,,,,,,,,,,1916,,,,,,
SDLA,1910s,2336537,74243,"3 axillary buds, 1 terminal bud cluster","yes, basal, some glue on leaf",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1916,,,,,,
SDLA,1920s,698690,RSA0191196,"5 axillary buds, little lf","yes, basal",y,y-N,26_121,,444.8,2.14,2.42,,,,1920,,,,,,
SDLA,1920s,906238,RSA0191278,4 terminal bud clusters,"yes, basal",,,,,,,,,,,1921,,,,,,
SDLA,1920s,1091776,RSA0191194,3 axillary buds,"yes, basal",,,,,,,,,,,1921,,,,,,
SDLA,1920s,648549,RSA0191258,5 axillary buds,"yes, cauline",,,,,,,,,,,1927,,,,,,
SDLA,1920s,468984,SD00062713,"4 axillary buds, 2 apical bud clusters, lil leaf, extra buds","yes, basal",y,y-N,25_173,0.09,63,1.37,0.78,n,,,1927,,,,,,
SDLA,1920s,141265,SBBG213823,"4 axiallary buds, 1 terminal bud cluster, 1 leaf","yes, cauline with cauline morphology ",y,y-N,25_198,0.448,7.4,1.84,1.63,maybe,,,1927,,,,,,
SDLA,1920s,3499442,JEPS53815,"7 bud clusters, little leaf","yes, basal",y,y-N,26_007,0.298,12.4,1.47,0.99,,,,1927,,,,,,
SDLA,1920s,83203,SBBG213838,4 bud clusters,"yes, cauline with basal morphology",y,y-N,26_073,4.69,35.9,1.92,2.18,y,,,1928,,,,,,
SDLA,1920s,963366,RSA0191218,3 axillary buds,"yes, cauline with basal morphology",,,,,,,,,,,1929,,,,,,
SDLA,1920s,732955,RSA0191217,"3 axillary bud, 1 little leaf","yes, cauline with intermediate morphology",,,,,,,,,,,1929,,,,,,
SDLA,1920s,806147,RSA0191215,"3 axillary buds, 1 little leaf","yes, cauline w/ intermediate morphology",,,,,,,,,,,1929,,,,,,
SDLA,1920s,1368057,DAV310399,3 terminal  bud clusters,no,y,y-N,26_074,0.362,7,1.63,1.87,m,,,1929,,,,,san diego,
SDLA,1920s,981549,RSA0191172,"1 axiallary bud, 1 terminal bud cluster",no,,,,,,,,,,,1930,,,,,,
SDLA,1920s,1119747,RSA0191216,4 axillary buds,"yes, cauline w/ intermediate morphology",,,,,,,,,,,1930,,,,,,
SDLA,1930s,469005,SD00062739,one apical bud cluster,no,y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1930,,,,,san diego,
SDLA,1930s,1143640,RSA0191223,3 axillary buds,"yes, basal w/ basal morphology",,,,,,,,,,,1931,,,,,,
SDLA,1930s,1205092,RSA0191186,3 axillary buds,"yes, cauline with basal morphology",,,,,,,,,,,1932,,,,,,
SDLA,1930s,1045591,RSA0191247,"3 axillary buds, 1 little leaf","yes, cauline with basal morphology",,,,,,,,,,,1932,,,,,,
SDLA,1930s,468988,SD00062800,"4 axiallary buds, small leaves","yes, cauline with basal morphology",y,y-N,25_181,"Note: Lab Notebook has rows crossed out, notes say broken tube pg 37, date is 251216",,,,y,,,1931,,,,,LA,
SDLA,1930s,468995,SD00062714,"6 axillary buds, 1 big multibud cluster with glue","yes, cauline with basal morphology",y,y-N,25_202,1.06,11.1,1.74,2.1,y,,,1932,,,,,san diego,
SDLA,1930s,468990,SD00062715,2-3 axillary buds,"yes, basal",y,y-N,25_152,2.16,10.1,1.68,1.71,y,,,1934,,,,,san diego,
SDLA,1930s,469026,SD00062737,5 axillary buds,"yes, cauline w/ intermediate morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1935,,,,,san diego,
SDLA,1930s,468992,SD00062717,"3 axillary buds, 3 terminal bud cluster","yes, cauline w/ intermediate morphology",y,y-N,26_075,0.75,8.2,1.63,2.02,,,,1935,,,,,san diego,
SDLA,1930s,468972,SD00062564,"1 axiallary bud, 2 floral bud clusters, small leaf","yes, basal",y,failed,25_151,0.106,6.1,1.45,0.75,n,,,1936,,,,,san diego,
SDLA,1930s,468975,SD00062674,4 axiallary buds,"yes, basal",y,y-N,25_182,0.285,4.1,1.56,1.13,m,,,1936,,,,,san diego,
SDLA,1930s,468974,SD00062679,2 bud clusters,"yes, basal",y,y-N,25_204,0.196,8.8,1.47,1.02,n,,,1936,,,,,san diego,
SDLA,1930s,468973,SD00062553,4 axillary buds,"yes, cauline with basal morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1936,,,,,san diego,
SDLA,1930s,468966,SD00062754,4 axiallary buds,"yes, basal",y,ip,,,,,,,,,1936,,,,,san diego,
SDLA,1930s,468979,SD00061956,"3-4 axillary buds, 1 terminal bud cluster","yes, basal",y,y-N,25_205,0.938,10.7,1.7,1.79,y,,,1937,,,,,san diego,
SDLA,1930s,468980,SD00062677,4 axiallary buds,"yes, cauline w/ intermediate morphology",y,y-N,25_183,0.226,5.3,1.41,0.75,n,,,1937,,,,,san diego,
SDLA,1930s,468982,SD00062675,"3 axillary bud, 1 little leaf","yes, cauline with basal morphology",y,y-N,25_150,0.45,5.6,1.39,0.75,n,,,1937,,,,,san diego,
SDLA,1930s,1193190,RSA0191198,"5 ax bud, 4 little leaf","yes, cauline with basal morphology",,,,,,,,,,,1937,,,,,,
SDLA,1930s,1000036,RSA0191199,"3 axillary buds, 1 little leaf","yes, cauline with basal morphology",,,,,,,,,,,1938,,,,,,
SDLA,1930s,468983,SD00062670,4 axiallary buds,"yes, basal",y,y-N,26_011,0.937,6.6,1.73,-8.11,m,,,1938,,,,,san diego,
SDLA,1940s,468985,SD00062743,3 axillary bud clusters and a lil leaf,"yes, basal",y,y-N,25_184,1.42,9.2,1.75,1.65,y,,,1940,,,,,san diego,
SDLA,1940s,468986,SD00062669,2 apical bud clusters,"yes, cauline with basal morphology",y,y-N,25_149,0.421,7,1.67,1.02,n,,,1940,,,,,san diego,
SDLA,1940s,468987,SD00062668,4 axiallary buds,"yes, cauline",y,y-N,26_012,10.4,22.5,1.85,3,y,,,1940,,,,,san diego,
