Lab_ID,CCH2_ID,Herbarium_ID,year,tiss_wt.mg,tiss_type,tissue_notes,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,Nano_curve,gel?,gel_notes,other_notes,date_extracted,usable?,importance,priority
25_011,1327836,DAV315352,2000,11.7,bud,used all tissue,4.05,10.4,1.51,1.15,nomal,y,,,250325,y,,
25_012,1368009,DAV310425,2007,8.3,leaf + bud,used only a few buds with young leaf; saved some bud tissue - not critical sample and wanted to try and see how well mixed leaf and bud will work,33.5,53.6,1.83,5.45,great,y,,,250325,y,,
25_013,1392578,DAV310393,2013,2.5,bud,"used 8 buds, saved 4 older buds",24.5,31.7,1.83,51.93,great,y,,,250325,y,,
25_014,2963303,DAV325632,2019,3.3,bud,"used all tissue - ~12 buds various sizes, tiny leaf bit",26.1,28.6,1.76,1.05,huge tail (tall at beginning),y,,,250325,y,,
25_016,202449,OBI101734,2001,10.3,bud,"~6 buds, saved 2 largest; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",1.86,6.1,1.45,-5.75,okay,y,,,250411,y,,
25_019,202480,OBI101761,2004,3.6,bud,"~6 buds, removed 2 big buds; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",7,15.1,1.78,4.21,pretty good,y,,,250411,y,"not redundant, would need to revisit OBI",high priority
25_023,216778,OBI101740,2016,14.1,bud,"~20 tiny, saved numerous small; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",8.32,9.9,1.65,-0.7,"bad (below 0 line, but okay shape)",y,,,250411,y,,
25_024,215180,OBI101741,2017,9.3,bud,"several small and a whole lil apical cluster of buds; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",27.7,38.2,1.8,3.72,good,y,,,250411,y,,
25_030,5752868,OBI183593,2022,2,bud+leaf,weight off bc wet with EB buds,6.04,6.6,1.7,-4.06,kinda fine,y,redo of 29_28,,250414,y,,
25_033,202449,OBI101734,2001,4.6,bud+leaf,"2 lrg, 2.6 mg  lf tissue",5.73,30.3,1.97,-6.54,"neg start, big peak",y,,homogenization: 16 min with 3 2.45 mm beads +20 min after adding 1 3.2 mm bead,250418,y,meh,
25_034,293450,UCSB032040,2001,5,bud,"~9 med/lrg, saved 1 lrg",6.7,70.7,2.12,6.68,goood,y,fragments too small,homogenization: 46 min with 3 2.45 mm beads,250418,m,"would probs want to resample, closest post 200 to old specimen",high priority
