id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,sourcePrimaryKey-dbpk,collID,recordID,references
4896924,US,,,PreservedSpecimen,http://n2t.net/ark:/65665/368d13b54-2cc5-4015-8815-dd9f3f968cce,US 6501,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,L. Xantus de Vesey,,9,1857-00-00,,1857,0,0,,,1857,,,,,,,,,,,,,,,,,,1,,,North America,,,,United States,California,,,"Fort Tejon, and vicinity.",,0,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/368d13b54-2cc5-4015-8815-dd9f3f968cce,91,9cb9c734-e3a2-4e0a-b7df-b8daad79bfad,https://www.cch2.org/portal/collections/individual/index.php?occid=4896924
4848896,US,,,PreservedSpecimen,http://n2t.net/ark:/65665/32c05f346-3097-49e7-9040-636e4f8e112e,US 320538,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,W. H. Brewer,,1004,1862-04-30,,1862,4,30,120,120,1862-4-30,,,,,,,,,,,,,,,,,,1,,,North America,,,,United States,California,Contra Costa,,"Camp 69, Walnut Creek.",,0,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/32c05f346-3097-49e7-9040-636e4f8e112e,91,6ce92645-eff6-4086-be70-034b7a352e96,https://www.cch2.org/portal/collections/individual/index.php?occid=4848896
4929046,US,,,PreservedSpecimen,http://n2t.net/ark:/65665/39188cfbc-5f2b-473f-ba86-f12eca4ab568,US 320539,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,W. H. Brewer,,2733,1864-04-00,,1864,4,0,121,121,1864-4,,,,,,,,,,,,,,,,,,1,,,North America,,,,United States,California,,,Oakland.,,0,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/39188cfbc-5f2b-473f-ba86-f12eca4ab568,91,fc32f536-c3eb-477a-b1a4-1782fefd719e,https://www.cch2.org/portal/collections/individual/index.php?occid=4929046
468963,SD,,,PreservedSpecimen,6D04235B-A364-47A9-B732-B5F6D78EEB10,SD00062742,SD8276,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,Daniel Cleveland,,s.n.,1875-05-24,,1875,5,24,144,,05/24/1875,,,,,,,,,,,,,FFL,,,,,,,,,,,,United States,California,San Diego,,Sweetwater,,0,,32.7089,-116.9682,WGS84,5000,fjg,,Google Earth,,point is centered on large general area of Sweetwater Lake,75,,,,,,,,,SD8276,43,eeb62ff2-6914-4222-af5f-8e5850d7bc63,https://www.cch2.org/portal/collections/individual/index.php?occid=468963
304566,UCSB,,,PreservedSpecimen,fc2b9ad6-1a5d-11e3-b49f-525400a0a001,UCSB032030,32021,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,Mrs. R. F. Bingham,,,1882-07-00,,1882,7,0,,,1882-07,,,,,,,,,,,,,,,,,,,Sheet - 1,,,,,,United States,California,Santa Barbara,,Montecito,,0,,34.4367,-119.6311,NAD83,5700,Santa Barbara Botanic Garden A,,GeoLocate (copied from SBBG63245),,Mon Apr 28 17:51:46 2014,,,,,,,,,preprocessed,,35,898cc859-55f6-4c0b-b723-505f66b13149,https://www.cch2.org/portal/collections/individual/index.php?occid=304566
3258364,UCJEPS,VASC,,PreservedSpecimen,7bcfe3aa-155d-4558-8aa7-7ec6c1340d0f,UC14322,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,E. R. Drew,,,1882-04-01,,1882,4,1,91,120,April 1882,"Date as ""April 1882",,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,United States,California,Sacramento,,Elk Grove,,0,,38.4,-121.36,NAD27,1609,,,Terrain Navigator 5.03 USGS 1:24000,,,,,,,,,,,,7bcfe3aa-155d-4558-8aa7-7ec6c1340d0f,46,66be8dfd-8b90-47a9-8741-ce9bccac1555,https://www.cch2.org/portal/collections/individual/index.php?occid=3258364
468961,SD,,,PreservedSpecimen,6715347B-6C68-4322-B5B2-E84C19AA3281,SD00062744,SD8274,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,unknown,,s.n.,1884-02-26,,1884,2,26,57,,02/26/1884,,,,,,,,,,,,,FFL,,,,,,,,,,,,United States,California,San Diego,,San Diego,,0,,32.731,-117.1371,WGS84,2500,fjg,,Google Earth,,general point for city of San Diego,76,,,,,,,,,SD8274,43,f804791c-2380-48fb-b5a9-8b354a379c03,https://www.cch2.org/portal/collections/individual/index.php?occid=468961
468962,SD,,,PreservedSpecimen,6BE9CF75-0765-4C0D-A038-BCFDABC7E8D9,SD00062741,SD8275,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,Frank F. Gander,,,,,,,unknown,,s.n.,1884-04-25,,1884,4,25,116,,04/25/1884,,,,,,,,,,,,,FFL,,,,,,,,,,,,United States,California,San Diego,,Chollas Valley,,0,,32.72173,-117.10117,WGS84,2414,mak,,TOPO! v3.4.2,,,,,,,,unknownft.,,,,SD8275,43,dffa19ee-a62c-4b34-bf69-e892e01d7e06,https://www.cch2.org/portal/collections/individual/index.php?occid=468962
3351467,UCJEPS,VASC,,PreservedSpecimen,f7a67d87-873c-4f88-9a0a-e19f38e52e4d,JEPS53818,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,Willis L. Jepson,,5K,1884-06-10,,1884,6,10,162,,Jun 10 1884,,in cultivated fields,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,United States,California,Solano,,Vacaville,,0,,38.35667,-121.9867,,,,,,,,,,,,,,,,,f7a67d87-873c-4f88-9a0a-e19f38e52e4d,46,c3a608ca-3af7-4c86-b010-2a7a8a042e2d,https://www.cch2.org/portal/collections/individual/index.php?occid=3351467
3268949,UCJEPS,VASC,,PreservedSpecimen,c50271ec-63b6-4743-9fb7-a3a47dcd8ce8,UC10778,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,J. A. Sanford,,95,1890-01-01,,1890,1,1,1,365,1890-1891,"Date as ""1890-91",,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,United States,California,San Joaquin,,French Camp,,0,,37.88255,-121.27376,NAD27,819,,,Terrain Navigator 5.03 USGS 1:24000,,,,,,,,,,,,c50271ec-63b6-4743-9fb7-a3a47dcd8ce8,46,69c1e870-4f18-4e6f-91b2-c9ece3e3d5fe,https://www.cch2.org/portal/collections/individual/index.php?occid=3268949
2286213,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74276,74276,urn:catalog:CAS:DS:95623,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Parish, W. F.",,s.n.,1891-00-00,,1891,1,1,,,1891,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,California,Los Angeles County,,Wayside - Long Beach.,,0,,33.76694,-118.18833,,,,Biogeomancer,,,(copied from UC2154),,,,,,,,en,,urn:catalog:CAS:BOT-BC:74276,1,795ff28a-bca5-4dec-8588-ec615bb2efae,https://www.cch2.org/portal/collections/individual/index.php?occid=2286213
2376470,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74174,74174,urn:catalog:CAS:BOT:77387,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,29701,L.,Raphanus,,raphanistrum,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Shepard, Mrs. G. C.",,s.n.,1893-00-00,,1893,1,1,,,Summer 1893,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,California,,,Pine Ridge. Sierra Nevada Mountains.,,0,,,,,,,,,,,,,,,,,,en,,urn:catalog:CAS:BOT-BC:74174,1,6007e7ba-a7f7-4810-9e2e-4bb789e45727,https://www.cch2.org/portal/collections/individual/index.php?occid=2376470
3366602,UCJEPS,VASC,,PreservedSpecimen,3be07165-45aa-404a-b4ba-e04b212c4394,UC10776,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,29701,L.,Raphanus,,raphanistrum,,,Species,,,,,,,,Fr. Denicke,,,1893-04-01,,1893,4,1,91,120,Apr 1893,"Date as ""Arpil 1893",,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,United States,California,San Francisco,,at San Francisco San Francisco,,0,,37.7514,-122.4413,WGS84,8000,San Jose S.U. A,,GoogleMaps via BerkeleyMapper,,georef from 2006-2015 archive backup file; Thu Nov 1 21:45:14 2012; (copied from RSA101836),,,,,,,,,preprocessed,3be07165-45aa-404a-b4ba-e04b212c4394,46,40697225-cc30-4f63-8e1d-8faedc6044b1,https://www.cch2.org/portal/collections/individual/index.php?occid=3366602
468999,SD,,,PreservedSpecimen,5EDCDFD0-6F3C-4F1B-8097-55272A22B94B,SD00062711,SD52157,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,R. D. Alderson,,633a,1893-04-01,,1893,4,1,91,,04/01/1893,,,,,,,,,,,,,FFL,,,,,,,,,,,,United States,California,San Diego,,Witch Creek,,0,,33.08272,-116.71691,WGS84,3620,mak,,TOPO! v3.4.2,,,,,,,,unknownft.,,,,SD52157,43,1189ab74-4bb1-4b57-8a7f-38d64cadcf9c,https://www.cch2.org/portal/collections/individual/index.php?occid=468999
2448284,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74317,74317,urn:catalog:CAS:DS:95605,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Parish, S. B.",,2642,1893-04-05,,1893,4,5,95,,5 Apr 1893.,,Grain fields.,,,,,,,,,,,,,,,,,,,North America,,,,United States,California,San Bernardino County,,Rialto.,,0,,,,,,,,,,,,,,,,,,en,,urn:catalog:CAS:BOT-BC:74317,1,db4a7498-1f7d-4925-8d1d-8f4516180711,https://www.cch2.org/portal/collections/individual/index.php?occid=2448284
3904083,LA,,,PreservedSpecimen,e568d646-4e35-4857-9c0d-1fe646685eb2,LA00606064,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,Th. Wolf,,1510,1893-09-23,,1893,9,23,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,abaniaga,,34,e568d646-4e35-4857-9c0d-1fe646685eb2,https://www.cch2.org/portal/collections/individual/index.php?occid=3904083
5009796,US,,,PreservedSpecimen,http://n2t.net/ark:/65665/3f7bb48a5-0f1b-4886-bac0-a9ac28195ac1,US 238201,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,H. Henshaw,,234,1893-04-05,,1893,4,5,95,95,1893-4-5,,,,,,,,,,,,,,,,,,1,,,North America,,,,United States,California,,,San Ysabel.,,0,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/3f7bb48a5-0f1b-4886-bac0-a9ac28195ac1,91,01041209-ef04-4bc4-a2dc-36ed2f43fac9,https://www.cch2.org/portal/collections/individual/index.php?occid=5009796
