id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,,,,,,,
4875033,US,,,PreservedSpecimen,http://n2t.net/ark:/65665/34d407680-b8f4-47c3-8662-a4d1d8156535,US 6500,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,L. Xantus de Vesey,,7*,1857-00-00,,1857,0,0,,,1857,,,,,,,,,,,,,,,,,,,,1,,,,North America,,,,United States,California,Kern,,"Fort Tejon, and vicinity.",,0,,34.8687,-118.9003,,,,,,,,,,,,,,,,,,,4/12/23 0:18,http://n2t.net/ark:/65665/34d407680-b8f4-47c3-8662-a4d1d8156535,91,90e4a05b-1891-478e-8cae-4d9f894dfd92,https://cch2.org/portal/collections/individual/index.php?occid=4875033,,,,,,,
4848896,US,,,PreservedSpecimen,http://n2t.net/ark:/65665/32c05f346-3097-49e7-9040-636e4f8e112e,US 320538,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,W. H. Brewer,,1004,1862-04-30,,1862,4,30,120,120,1862-4-30,,,,,,,,,,,,,,,,,,,,1,,,,North America,,,,United States,California,Contra Costa,,"Camp 69, Walnut Creek.",,0,,37.910076,-122.065186,,,,,,,,,,,,,,,,,,,4/12/23 0:18,http://n2t.net/ark:/65665/32c05f346-3097-49e7-9040-636e4f8e112e,91,6ce92645-eff6-4086-be70-034b7a352e96,https://cch2.org/portal/collections/individual/index.php?occid=4848896,,,,,,,
4929046,US,,,PreservedSpecimen,http://n2t.net/ark:/65665/39188cfbc-5f2b-473f-ba86-f12eca4ab568,US 320539,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,W. H. Brewer,,2733,1864-04-00,,1864,4,0,121,121,1864-4,,,,,,,,,,,,,,,,,,,,1,,,,North America,,,,United States,California,Alameda,,Oakland.,,0,,37.80437,-122.2708,,,,,,,,,,,,,,,,,,,4/12/23 0:18,http://n2t.net/ark:/65665/39188cfbc-5f2b-473f-ba86-f12eca4ab568,91,fc32f536-c3eb-477a-b1a4-1782fefd719e,https://cch2.org/portal/collections/individual/index.php?occid=4929046,,,,,,,
468963,SD,,,PreservedSpecimen,6D04235B-A364-47A9-B732-B5F6D78EEB10,SD00062742,SD8276,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,Daniel Cleveland,,s.n.,1875-05-24,,1875,5,24,144,,05/24/1875,,,,,,,,,,,,,,,FFL,,0,,,,,,,,,,,United States,California,San Diego,,Sweetwater,,0,,32.7089,-116.9682,WGS84,,5000,,fjg,,Google Earth,,point is centered on large general area of Sweetwater Lake,75,,,,,,,,,9/4/24 12:55,SD8276,43,eeb62ff2-6914-4222-af5f-8e5850d7bc63,https://cch2.org/portal/collections/individual/index.php?occid=468963,,,,,,,
3258364,UCJEPS,VASC,,PreservedSpecimen,7bcfe3aa-155d-4558-8aa7-7ec6c1340d0f,UC14322,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,E. R. Drew,,,1882-04-01,,1882,4,1,91,120,April 1882,"Date as ""April 1882",,,,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,,United States,California,Sacramento,,Elk Grove,,0,,38.400006,-121.360017,NAD27,yes,1609,,,,Terrain Navigator 5.03 USGS 1:24000,,,,,,,,,,,,11/4/21 8:22,UC14322,46,66be8dfd-8b90-47a9-8741-ce9bccac1555,https://cch2.org/portal/collections/individual/index.php?occid=3258364,,,,,,,
304566,UCSB,,,PreservedSpecimen,fc2b9ad6-1a5d-11e3-b49f-525400a0a001,UCSB032030,32021,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,Mrs. R. F. Bingham,,,1882-07-00,,1882,7,0,,,1882-07,,,,,,,,,,,,,,,,,,,,,,Sheet - 1,,,,,,United States,California,Santa Barbara,,Montecito,,0,,34.4367,-119.6311,NAD83,,5700,,Santa Barbara Botanic Garden A,,GeoLocate (copied from SBBG63245),,Mon Apr 28 17:51:46 2014,,,,,,,,,preprocessed,6/11/14 9:23,,35,898cc859-55f6-4c0b-b723-505f66b13149,https://cch2.org/portal/collections/individual/index.php?occid=304566,,,,,,,
468961,SD,,,PreservedSpecimen,6715347B-6C68-4322-B5B2-E84C19AA3281,SD00062744,SD8274,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,unknown,,s.n.,1884-02-26,,1884,2,26,57,,02/26/1884,,,,,,,,,,,,,,,FFL,,0,,,,,,,,,,,United States,California,San Diego,,San Diego,,0,,32.731,-117.1371,WGS84,,2500,,fjg,,Google Earth,,general point for city of San Diego,76,,,,,,,,,9/4/24 12:55,SD8274,43,f804791c-2380-48fb-b5a9-8b354a379c03,https://cch2.org/portal/collections/individual/index.php?occid=468961,,,,,,,
468962,SD,,,PreservedSpecimen,6BE9CF75-0765-4C0D-A038-BCFDABC7E8D9,SD00062741,SD8275,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,Frank F. Gander,,,,,,unknown,,s.n.,1884-04-25,,1884,4,25,116,,04/25/1884,,,,,,,,,,,,,,,FFL,,0,,,,,,,,,,,United States,California,San Diego,,Chollas Valley,,0,,32.72173,-117.10117,WGS84,,2414,,mak,,TOPO! v3.4.2,,,,,,,,unknownft.,,,,9/4/24 12:55,SD8275,43,dffa19ee-a62c-4b34-bf69-e892e01d7e06,https://cch2.org/portal/collections/individual/index.php?occid=468962,,,,,,,
3351467,UCJEPS,VASC,,PreservedSpecimen,f7a67d87-873c-4f88-9a0a-e19f38e52e4d,JEPS53818,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,Willis L. Jepson,,5K,1884-06-10,,1884,6,10,162,,Jun 10 1884,,in cultivated fields,,,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,,United States,California,Solano,,Vacaville,,0,,38.35667,-121.9867,,,,,,,,,,,,,,,,,,,11/3/21 16:30,JEPS53818,46,c3a608ca-3af7-4c86-b010-2a7a8a042e2d,https://cch2.org/portal/collections/individual/index.php?occid=3351467,,,,,,,
3268949,UCJEPS,VASC,,PreservedSpecimen,c50271ec-63b6-4743-9fb7-a3a47dcd8ce8,UC10778,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,J. A. Sanford,,95,1890-01-01,,1890,1,1,1,365,1890-1891,"Date as ""1890-91",,,,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,,United States,California,San Joaquin,,French Camp,,0,,37.882556,-121.273777,NAD27,yes,819,,,,Terrain Navigator 5.03 USGS 1:24000,,,,,,,,,,,,11/4/21 8:26,UC10778,46,69c1e870-4f18-4e6f-91b2-c9ece3e3d5fe,https://cch2.org/portal/collections/individual/index.php?occid=3268949,,,,,,,
