coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
355726,https://api.idigbio.org/v2/media/2f62cf57e59bb80059105c3d1124a515?size=fullsize,https://api.idigbio.org/v2/media/2f62cf57e59bb80059105c3d1124a515?size=fullsize,https://api.idigbio.org/v2/media/2f62cf57e59bb80059105c3d1124a515?size=thumbnail,https://api.idigbio.org/v2/media/2f62cf57e59bb80059105c3d1124a515?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"UCSB - University of California Santa Barbara Herbarium (UCSB-UCSB)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:96456a9e-bcf5-4a2e-99cc-72482420b0a6,"2018-09-30 23:05:51",https://cch2.org/portal/collections/individual/index.php?occid=355726,en
355727,https://api.idigbio.org/v2/media/b2fa882d24f3ac62943241b3f8682e9a?size=fullsize,https://api.idigbio.org/v2/media/b2fa882d24f3ac62943241b3f8682e9a?size=fullsize,https://api.idigbio.org/v2/media/b2fa882d24f3ac62943241b3f8682e9a?size=thumbnail,https://api.idigbio.org/v2/media/b2fa882d24f3ac62943241b3f8682e9a?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"UCSB - University of California Santa Barbara Herbarium (UCSB-UCSB)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:688d92b2-0c46-4c71-8c9f-f6db491862c7,"2018-09-30 23:05:51",https://cch2.org/portal/collections/individual/index.php?occid=355727,en
355751,https://api.idigbio.org/v2/media/6c57a762b0d94cc9fb87b5f2cc39effd?size=fullsize,https://api.idigbio.org/v2/media/6c57a762b0d94cc9fb87b5f2cc39effd?size=fullsize,https://api.idigbio.org/v2/media/6c57a762b0d94cc9fb87b5f2cc39effd?size=thumbnail,https://api.idigbio.org/v2/media/6c57a762b0d94cc9fb87b5f2cc39effd?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"UCSB - University of California Santa Barbara Herbarium (UCSB-UCSB)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:fbb0b467-1be1-4f71-a195-6c4545325b44,"2018-09-30 23:05:51",https://cch2.org/portal/collections/individual/index.php?occid=355751,en
355768,https://api.idigbio.org/v2/media/13017f58079ad75714728f2e6cfc7b3a?size=fullsize,https://api.idigbio.org/v2/media/13017f58079ad75714728f2e6cfc7b3a?size=fullsize,https://api.idigbio.org/v2/media/13017f58079ad75714728f2e6cfc7b3a?size=thumbnail,https://api.idigbio.org/v2/media/13017f58079ad75714728f2e6cfc7b3a?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"UCSB - University of California Santa Barbara Herbarium (UCSB-UCSB)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:73d87ca3-5777-4b3a-85bc-336343661649,"2018-09-30 23:05:51",https://cch2.org/portal/collections/individual/index.php?occid=355768,en
355769,https://api.idigbio.org/v2/media/42097bf52ba20aaf7058c082b9d2b336?size=fullsize,https://api.idigbio.org/v2/media/42097bf52ba20aaf7058c082b9d2b336?size=fullsize,https://api.idigbio.org/v2/media/42097bf52ba20aaf7058c082b9d2b336?size=thumbnail,https://api.idigbio.org/v2/media/42097bf52ba20aaf7058c082b9d2b336?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"UCSB - University of California Santa Barbara Herbarium (UCSB-UCSB)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:d0e53605-6e63-4fc0-92a2-5249098e15ad,"2018-09-30 23:05:51",https://cch2.org/portal/collections/individual/index.php?occid=355769,en
292926,https://api.idigbio.org/v2/media/635e1edf2c6ec70a772f85b6387f8140,https://api.idigbio.org/v2/media/635e1edf2c6ec70a772f85b6387f8140,https://api.idigbio.org/v2/media/635e1edf2c6ec70a772f85b6387f8140?size=thumbnail,https://api.idigbio.org/v2/media/635e1edf2c6ec70a772f85b6387f8140?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"UCSB - University of California Santa Barbara Herbarium (UCSB-UCSB)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:b1afa166-866b-4e25-b931-0a33ac66938e,"2019-01-08 19:08:49",https://cch2.org/portal/collections/individual/index.php?occid=292926,en
304541,https://api.idigbio.org/v2/media/6970e034834a4b8fb98c86b20fe86845,https://api.idigbio.org/v2/media/6970e034834a4b8fb98c86b20fe86845,https://api.idigbio.org/v2/media/6970e034834a4b8fb98c86b20fe86845?size=thumbnail,https://api.idigbio.org/v2/media/6970e034834a4b8fb98c86b20fe86845?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"UCSB - University of California Santa Barbara Herbarium (UCSB-UCSB)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:acd23ccb-c085-437f-9aca-f30be74dd613,"2019-01-08 19:08:49",https://cch2.org/portal/collections/individual/index.php?occid=304541,en
304540,https://api.idigbio.org/v2/media/fb1cd14e87e26101a03b110d1cd950b5,https://api.idigbio.org/v2/media/fb1cd14e87e26101a03b110d1cd950b5,https://api.idigbio.org/v2/media/fb1cd14e87e26101a03b110d1cd950b5?size=thumbnail,https://api.idigbio.org/v2/media/fb1cd14e87e26101a03b110d1cd950b5?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"UCSB - University of California Santa Barbara Herbarium (UCSB-UCSB)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:e9d5cb23-6b00-4591-a196-ff533b80665b,"2019-01-08 19:08:49",https://cch2.org/portal/collections/individual/index.php?occid=304540,en
304539,https://api.idigbio.org/v2/media/9fe6dc0a0e8a132e4e3cd39c1e3e20fe,https://api.idigbio.org/v2/media/9fe6dc0a0e8a132e4e3cd39c1e3e20fe,https://api.idigbio.org/v2/media/9fe6dc0a0e8a132e4e3cd39c1e3e20fe?size=thumbnail,https://api.idigbio.org/v2/media/9fe6dc0a0e8a132e4e3cd39c1e3e20fe?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"UCSB - University of California Santa Barbara Herbarium (UCSB-UCSB)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:a9cbd92d-ee12-4fea-b913-7a14512f7d5a,"2019-01-08 19:08:49",https://cch2.org/portal/collections/individual/index.php?occid=304539,en
304538,https://api.idigbio.org/v2/media/ee1e89fbf8d4beb6bc09f384dd19681d,https://api.idigbio.org/v2/media/ee1e89fbf8d4beb6bc09f384dd19681d,https://api.idigbio.org/v2/media/ee1e89fbf8d4beb6bc09f384dd19681d?size=thumbnail,https://api.idigbio.org/v2/media/ee1e89fbf8d4beb6bc09f384dd19681d?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"UCSB - University of California Santa Barbara Herbarium (UCSB-UCSB)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:8eb3b8b6-b59d-45d2-8a7c-2d2820e61010,"2019-01-08 19:08:49",https://cch2.org/portal/collections/individual/index.php?occid=304538,en
