id,catalogNumber,DNA tissue,leaf_tissue,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,year
6536598,SACT012140,2 terminal buds,"yes, basal",California,Sacramento,,Near Sacramento,NA,NA,1890
4095395,CDA-0020839,"1 multibud cluster, 1 axillary bud","yes, basal",California,Santa Barbara,,Vicinity of Santa Maria Union High School. South Central Coast.,34.94,-120.44,1908
1049760,RSA0191269,2 multibud clusters,"yes, basal",California,Riverside,,Elsinore region.,33.65,-117.367,1916
698690,RSA0191196,"5 axillary buds, little lf","yes, basal",California,Los Angeles,,"New York Ave, Altadena",NA,NA,1920
906238,RSA0191278,4 terminal bud clusters,"yes, basal",California,Los Angeles,,Between Claremont and Upland,NA,NA,1921
1091776,RSA0191194,3 axillary buds,"yes, basal",California,Los Angeles,,South Hills. South of Pomona.,NA,NA,1921
682744,RSA0191168,4 axillary buds,"yes, basal",California,Lake,,Kelseyville.,NA,NA,1925
715148,RSA0191164,2 axillary buds,"yes, cauline w/ intermediate morphology",California,Humboldt,,Bucksport. Eureka.,NA,NA,1926
2970754,YOSE65260,"2 axillary buds, 2 little leaves","yes, basal",California,MARIPOSA,,YOSEMITE VALLEY,37.726438,-119.611642,1927
648549,RSA0191258,5 axillary buds,"yes, cauline",California,Orange,,"Santa Ana River bottom, Rancho Santa Ana.",NA,NA,1927
947300,RSA0191299,4 axillary buds,"yes, cauline with intermediate morphology",California,San Francisco,,[No location data on label.],37.7645,-122.5082,1927
935273,RSA0191169,1 terminal bud clusters,"yes, cauline with cauline morphology ",California,Lake,,"McGaw Slough. Kelseyville. Middle N Coast Mtn range, Cold Creek River.",NA,NA,1928
747857,RSA0191129,5 axillary buds,"yes, basal",California,Lake,,"Kelseyville. Middle N Coast range, Kelsey Creek.",NA,NA,1928
963366,RSA0191218,3 axillary buds,"yes, cauline with basal morphology",California,Los Angeles,,Topanga Canyon.,NA,NA,1929
732955,RSA0191217,"3 axillary bud, 1 little leaf","yes, cauline with intermediate morphology",California,Los Angeles,,Palos Verdes,NA,NA,1929
806147,RSA0191215,"3 axillary buds, 1 little leaf","yes, cauline w/ intermediate morphology",California,Los Angeles,,Long Beach.,NA,NA,1929
667072,RSA0191280,3 axillary buds,"yes, cauline with cauline morphology ",California,San Diego,,Vista.,NA,NA,1929
684007,RSA0191317,3 axillary buds,"yes, basal",California,Santa Barbara,,Cuyama R. Valley,NA,NA,1929
1062094,RSA0191327,3 axillary buds,"yes, basal",California,Trinity,,[no locality information provided],NA,NA,1929
981549,RSA0191172,"1 axiallary bud, 1 terminal bud cluster",no,California,Los Angeles,,Santa Monica Mountains; Laurel Canyon.,34.1112,-118.3733,1930
1119747,RSA0191216,4 axillary buds,"yes, cauline w/ intermediate morphology",California,Los Angeles,,Del Rey.,NA,NA,1930
956927,RSA0191301,3 axillary buds,"yes, cauline w/ cauline morphology",California,San Joaquin,,Northeastern portion of the county.,NA,NA,1930
1143640,RSA0191223,3 axillary buds,"yes, basal w/ basal morphology",California,Los Angeles,,Pomona.,NA,NA,1931
1205092,RSA0191186,3 axillary buds,"yes, cauline with basal morphology",California,Los Angeles,,2 mi. SW Glendora.,NA,NA,1932
1045591,RSA0191247,"3 axillary buds, 1 little leaf","yes, cauline with basal morphology",California,Orange,,"Carbon Canyon, Sunny Hill, [Los Angeles County?]",NA,NA,1932
6536581,SACT012152,3 axillary duds,"yes, basal",California,Placer,,Lincoln,NA,NA,1933
1114974,RSA0191238,3 axillary buds,"yes, unknown but appears to have basal morphology",California,Los Angeles,,"Bryant Ranch, E of Long Beach on mesa. Alt 100ft NE of concrete mon. 1864.92ft. S of NW corner of section",NA,NA,1934
1045059,RSA0191319,3 terminal bud clusters,"yes, cauline w/ intermediate morphology",California,Santa Clara,,"Palo Alto, Watershed: San Francisco Bay.",NA,NA,1936
1193190,RSA0191198,"5 ax bud, 4 little leaf","yes, cauline with basal morphology",California,Los Angeles,,"North Craig Ave., Altadena.",NA,NA,1937
1000036,RSA0191199,"3 axillary buds, 1 little leaf","yes, cauline with basal morphology",California,Los Angeles,,El Monte.,NA,NA,1938
639302,RSA0191244,"2 axillary buds, 2 little leaves",no,California,Monterey,,Pacific Grove.,NA,NA,1939
1092827,RSA0191156,3 axillary buds,"yes, basal",California,Alameda,,"KRE pond, foot Ashby Ave, Berkeley.",37.8585,-122.2773611,1940
1068117,RSA0191141,"4 axiallary buds, 1 little leaf","yes, unknown but appears to have intermediate morphology",California,San Joaquin,,San Joaquin Valley: Lodi.,NA,NA,1941
734125,RSA0191181,"3 axillary buds, 3 little leaf","yes, cauline w/ intermediate morphology",California,Los Angeles,,Redondo Beach.,NA,NA,1943
1104772,RSA0191219,6 axillary buds,"yes, basal",California,Los Angeles,,Claremont.,NA,NA,1948
765477,RSA0191243,4 terminal bud clusters,"yes, basal",California,Monterey,,Carmel.,36.63385,-121.93829,1950
753633,RSA0191300,"3 axillary buds, 1 terminal bud cluster","yes, unknown but appears to have intermediate morphology",California,San Francisco,,Sand dunes at 37th Avenue below Ortega and Quintara streets.,37.7496,-122.4957,1952
1028268,RSA0191162,3 axillary buds,"yes, basal",California,Fresno,,Along Hwy 41 just S of pt where rd starts downgrade to San Joaquin River.,NA,NA,1953
6536555,SACT012146,2 axillary buds,no,California,Sacramento,,Fair Oaks,NA,NA,1953
6536769,SACT012150,2 axillary buds,"yes, basal",California,Sacramento,,,NA,NA,1953
921047,RSA0029813,"3 axiallary buds, 1 little leaf","yes, basal",California,San Luis Obispo,,Pecho Ranch. On the ocean.,NA,NA,1953
6536629,SACT012141,2ish terminal buds,no,California,Sacramento,,Hwy 50,NA,NA,1954
1224569,RSA0191230,4 axillary buds,"yes, cauline with intermediate morphology",California,Los Angeles,,[City of] Claremont near eastern end of Los Angeles County. Along San Antonio Creek in Blanchard Park on Pomona College campus.,NA,NA,1958
652363,RSA0191237,"3 axillary buds, 1 terminal bud cluster","yes, basal",California,Los Angeles,,Santa Monica Mountains. Point Dume.,34,-118.8,1959
1209922,RSA0056287,"6 axillary buds, 2 little leaves","yes, cauline with basal morphology",California,San Luis Obispo,,Shell Beach.,NA,NA,1968
1005483,RSA0191323,"1 axillary bud, 1 terminal bud cluster","yes, cauline with intermediate morphology",California,Siskiyou,,Near English Lake. The Salmon Mountains. High Lake Basins in the vicinity of English Peak. Marble Mountain Wilderness.,NA,NA,1969
706113,RSA0191163,"2 terminal bud cluster, 1 axillary bud","yes, basal",California,Humboldt,,At the junction of the Hookton Rd and Copenhagen Rd.,NA,NA,1971
1133685,RSA0191224,5 axillary bud with little leaves,"yes, cauline with basal morphology",California,Los Angeles,,"North side of Orlando Way, and east of 229 E. Orlando Way, Covina.",NA,NA,1971
884527,RSA0191152,3 axillary buds,"yes, unknown but appears to have basal morphology",California,Los Angeles,,Kagel Canyon.,34.315211,-118.36937,1973
4095404,CDA-0037168,3 axillary buds,no,California,Placer,,"Loomis; David Takagishi property, northeast of the junction of Sierra College Blvd. & Interstate 80.",38.82,-121.18,1975
778436,RSA0023267,3 axillary buds,"yes, unknown but appears to have basal morphology",California,Orange,,Santa Ana Mountains: Trabuco Canyon.,NA,NA,1977
1079969,RSA0191213,"3 axillary bud, 1 terminal","yes, cauline with basal morphology",California,Los Angeles,,"Ballona Wetlands, Area 3.",NA,NA,1980
902357,RSA0191303,5 axillary buds,"yes, cauline with basal morphology",California,San Luis Obispo,,On the SE side of Laguna Lake Park from the roadway to the base of hill.,NA,NA,1982
1089689,RSA0045286,2 axillary buds,"yes, unknown but basal morphology",California,San Diego,,"One mile inland from the ocean in Pacific Beach, San Diego. In a canyon north of the cul de sac of Dawes Ave. Just off Ingrahm Blvd. The canyon runs NE-SW for about a mile.",NA,NA,1983
645300,RSA0191288,"4 axillary buds, 1 little leaf","yes, cauline w/ intermediate morphology",California,San Diego,,"On hwy 74, 0.9 miles west of the junction of highway 74 and I-40.",NA,NA,1984
4095385,CDA-0059482,3 axillary buds,"yes, cauline with basal morphology",California,Fresno,,Fresno.,36.73,-119.75,1985
1062233,RSA0191325,3 axillary buds,"yes, cauline w/ intermediate morphology",California,Sonoma,,"Along State Hwy 121, 0.4 mile E of its junction with State Hwy 116 at Big Bend in the Sonoma Valley.",NA,NA,1987
4095375,CDA-0012316,3 axillary buds,"yes, basal",California,Kern,,Disturbed right-of-way SR 99 between Bakersfield and Delano. San Joaquin Valley.,35.73,-119.22,1992
668312,RSA0191272,5 axillary buds,"yes, basal",California,Riverside,,"NW Palomar Mountains, Agua Tibia Mountains: Pechanga Indian Reservation, west of Pala Road. Reservation lands west of the casino and along Pechanga Creek.; Pechanga",33.453,-117.111,1997
899090,RSA0191296,3 axillary buds,"yes, basal",California,San Diego,,"NW Palomar Mountains, Agua Tibia Mountains: Wilderness Gardens Preserve. Approximately 3.4 miles east of Pala south of Hwy. 76 along the San Luis Rey River.Areas along the main trail network from the parking area along the primary driveway within the river bottom to areas of native grasslands on the higher slopes.",33.3502778,-117.0327778,1997
824961,RSA0191206,6 axillary buds,"yes, cauline w/ intermediate morphology",California,Los Angeles,,"La Verne, Foothill Blvd., 75 m W. of Wheeler Avenue",34.1187778,-117.7809167,1998
2963409,YOSE109091,2 axillary buds,"yes, cauline w/ intermediate morphology",California,MARIPOSA,,"YOSEMITE WEST, YOSEMITE NATIONAL PARK, CALIFORNIA. GROWING IN SMALL DISTURBED AREA A FEW FEET FROM ROAD AT INTERSECTION OF CHOKE CHERRY ROAD AND YOSEMITE PARK WAY.",37.646858,-119.712595,1999
2963408,YOSE109090,2 axillary buds,"yes, cauline with basal morphology",California,MARIPOSA,,"YOSEMITE WEST, YOSEMITE NATIONAL PARK, CALIFORNIA. GROWING IN SMALL DISTURBED AREA A FEW FEET FROM ROAD AT INTERSECTION OF CHOKE CHERRY ROAD AND YOSEMITE PARK WAY.",37.646858,-119.712595,1999
4095392,CDA-0018779,2 axillary buds,"yes, cauline with basal morphology",California,Sonoma,,Bodega Bay. Northern California.,38.32,-123.02,2000
4095393,CDA-0019431,3 axillary buds,"yes, basal",California,Sacramento,,"E side of Jaeger Rd, ± 0.5 mi S of Douglas Blvd. ± 1 mi E of Sunrise Blvd, Sacramento. Sacramento Valley.",38.55,-121.23,2002
4084876,CDA-0043773,1 terminal bud cluster,"yes, cauline w/ cauline morphology",California,San Luis Obispo,,"Nipomo Mesa, Pomeroy Rd, 0.2 mi N of Willow Rd. Central Coast.",35.05,-120.53,2004
2966793,YOSE225087,3 axillary buds,"yes, cauline with intermediate morphology",California,Mariposa,,"Yosemite Valley, Northside Drive near Sunnyside Camp (now Camp Four)",37.740601,-119.603385,2009
