"tissue_sheet_row","id_tissue","id_key","institutionCode","catalogNumber","cat_norm","year","specimen_id","institutionCode_specimen","locality","verbatimLocality","verbatimCoordinates","decimalLatitude","decimalLongitude","county","municipality","DNA tissue","leaf_tissue","notes"
5,"2385124",2385124,"CAS","74196","74196","1920",2385124,"CAS","Lomitas School near Menlo Park.",,,,,"San Mateo County",,"2 terminal bud clusters, extra flower buds","no",
6,"2288164",2288164,"CAS","74192","74192","1926",2288164,"CAS","Tahoe Forest. Near Central House, top of ridge.",,,,,"Nevada County",,"leaf","no","single basal leaf could use for both if sufficient "
7,"2338864",2338864,"CAS","74333","74333","1936",2338864,"CAS","Morro.",,,,,"San Luis Obispo County",,"4 terminal bud clusters","no",
9,"2411987",2411987,"CAS","74331","74331","1952",2411987,"CAS","San Francisco. Lake Merced.",,"37.7183000000, -122.4881000000",37.7183,-122.4881,"San Francisco County",,"1 terminal bud cluster","no",
10,"2282381",2282381,"CAS","74359","74359","1954",2282381,"CAS","Northern end of Hilton Airport between airstrip and highway.",,"37°09.4'N, 122°09.7'W",37.1566666667,-122.1616666667,"Santa Cruz County",,"1 large bud cluster","no","unsampled duplicate (diff month) if extraction fails (74361)"
11,"2318143",2318143,"CAS","74176","74176","1964",2318143,"CAS","Ca. 7.2 miles east of Alpine Lake Lodge, south of Ebbetts Pass Highway.",,,,,"Alpine County",,"3 terminal  bud clusters","no","sample collected from pouch, duel sample - potentially 2 different individuals . "
12,"2464854",2464854,"CAS","74334","74334","1964",2464854,"CAS","Cambria.",,,,,"San Luis Obispo County",,"2 axillary bud, 1 terminal bud, some loose buds","no",
13,"5504849",5504849,"CAS","684486","684486","1966",5504849,"CAS","27797 Mandarin Avenue, Hayward",,,,,"Alameda County",,"2 terminal bud cluster","no",
14,"5504848",5504848,"CAS","684485","684485","1969",5504848,"CAS","end of Niles off highway 84",,,,,"Alameda County",,"2 terminal bud clusters, 1 little leaf","no",
15,"5504846",5504846,"CAS","684483","684483","1973",5504846,"CAS",".8 miles north of Santa Cruz city",,,,,"Santa Cruz County",,"4 axillary buds","no",
16,"2457183",2457183,"CAS","74340","74340","1973",2457183,"CAS","San Carlos. North of Malabar Road and Melendy Drive.",,"37°29'38""N, 122°16'41""W",37.4938888889,-122.2780555556,"San Mateo County",,"2 terminal bud cluster","no",
17,"2355201",2355201,"CAS","74180","74180","1978",2355201,"CAS","Sierra Nevada. Dorrington.",,,,,"Calaveras County",,"3 terminal  bud clusters","no",
18,"2414894",2414894,"CAS","74294","74294","1979",2414894,"CAS","Highway 128, 0.5 mile east of intersection with Highway 1.",,,,,"Mendocino County",,"2 axillary buds","no",
